index,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,NumRaces,NumUsers,PSC,Power,TimeStamp,User,laccid,netOperators,quality,race_id,ratio,rawPower,segment,segment_end_id,segment_start_id,session_id,source_file,x,y
79,,275,,7763,,,,2G,EDGE,2,,,-101.0,,,7763-275,,-0.09,,0.0526315789474,,069-068,68,69,,,37.6315500788,55.7799567006
80,,275,,7763,,,,2G,EDGE,2,,,-103.0,,,7763-275,,-0.09,,0.0614035087719,,069-068,68,69,,,37.6312734278,55.7799581267
81,,275,,7763,,,,2G,EDGE,2,,,-103.0,,,7763-275,,-0.09,,0.0701754385965,,069-068,68,69,,,37.6309967768,55.7799595527
82,,275,,7763,,,,2G,EDGE,2,,,-106.0,,,7763-275,,-0.09,,0.0789473684211,,069-068,68,69,,,37.6307201178,55.77996
83,,275,,7763,,,,2G,EDGE,2,,,-104.0,,,7763-275,,-0.09,,0.0877192982456,,069-068,68,69,,,37.6304434552,55.77996
84,,275,,7763,,,,2G,EDGE,2,,,-107.0,,,7763-275,,-0.09,,0.0964912280702,,069-068,68,69,,,37.6301667926,55.77996
85,,275,,7763,,,,2G,EDGE,2,,,-107.0,,,7763-275,,-0.09,,0.105263157895,,069-068,68,69,,,37.6298901299,55.77996
86,,275,,7763,,,,2G,EDGE,2,,,-107.0,,,7763-275,,-0.09,,0.114035087719,,069-068,68,69,,,37.6296135195,55.7799613665
87,,275,,7763,,,,2G,EDGE,2,,,-105.0,,,7763-275,,-0.09,,0.122807017544,,069-068,68,69,,,37.6293371126,55.7799680537
88,,275,,7763,,,,2G,EDGE,2,,,-105.0,,,7763-275,,-0.09,,0.131578947368,,069-068,68,69,,,37.6290607056,55.779974741
89,,275,,7763,,,,2G,EDGE,2,,,-107.0,,,7763-275,,-0.09,,0.140350877193,,069-068,68,69,,,37.6287842986,55.7799814283
90,,275,,7763,,,,2G,EDGE,2,,,-105.0,,,7763-275,,-0.09,,0.149122807018,,069-068,68,69,,,37.6285078917,55.7799881155
91,,275,,7763,,,,2G,EDGE,2,,,-105.0,,,7763-275,,-0.09,,0.157894736842,,069-068,68,69,,,37.628231621,55.779996338
92,,275,,7763,,,,2G,EDGE,2,,,-105.0,,,7763-275,,-0.09,,0.166666666667,,069-068,68,69,,,37.6279554037,55.7800051628
93,,275,,7763,,,,2G,EDGE,2,,,-105.0,,,7763-275,,-0.09,,0.175438596491,,069-068,68,69,,,37.6276791865,55.7800139877
94,,275,,7763,,,,2G,EDGE,2,,,-105.0,,,7763-275,,-0.09,,0.184210526316,,069-068,68,69,,,37.6274029692,55.7800228125
95,,275,,7763,,,,2G,EDGE,2,,,-105.0,,,7763-275,,-0.09,,0.19298245614,,069-068,68,69,,,37.627126752,55.7800316373
96,,275,,7763,,,,2G,EDGE,2,,,-105.0,,,7763-275,,-0.09,,0.201754385965,,069-068,68,69,,,37.6268505347,55.7800404622
97,,250,,7763,,,,2G,EDGE,2,,,-99.0,,,7763-250,,0.84,,0.605263157895,,069-068,68,69,,,37.6141852058,55.7807179255
98,,250,,7763,,,,2G,EDGE,2,,,-99.0,,,7763-250,,0.84,,0.614035087719,,069-068,68,69,,,37.6139102017,55.780734936
99,,250,,7763,,,,2G,EDGE,2,,,-99.0,,,7763-250,,0.84,,0.622807017544,,069-068,68,69,,,37.6136351976,55.7807519466
100,,250,,7763,,,,2G,EDGE,2,,,-99.0,,,7763-250,,0.84,,0.631578947368,,069-068,68,69,,,37.6133601935,55.7807689571
101,,250,,7763,,,,2G,EDGE,2,,,-99.0,,,7763-250,,0.84,,0.640350877193,,069-068,68,69,,,37.6130851894,55.7807859677
102,,250,,7763,,,,2G,EDGE,2,,,-99.0,,,7763-250,,0.84,,0.649122807018,,069-068,68,69,,,37.6128089943,55.7807931493
103,,250,,7763,,,,2G,EDGE,2,,,-99.0,,,7763-250,,0.84,,0.657894736842,,069-068,68,69,,,37.612532429,55.7807972772
104,,250,,7763,,,,2G,EDGE,2,,,-99.0,,,7763-250,,0.84,,0.666666666667,,069-068,68,69,,,37.6122558638,55.780801405
105,,250,,7763,,,,2G,EDGE,2,,,-97.0,,,7763-250,,0.84,,0.675438596491,,069-068,68,69,,,37.6119792986,55.7808055329
106,,250,,7763,,,,2G,EDGE,2,,,-97.0,,,7763-250,,0.84,,0.684210526316,,069-068,68,69,,,37.6117027333,55.7808096607
107,,250,,7763,,,,2G,EDGE,2,,,-96.0,,,7763-250,,0.84,,0.69298245614,,069-068,68,69,,,37.6114265236,55.7808015508
108,,250,,7763,,,,2G,EDGE,2,,,-95.0,,,7763-250,,0.84,,0.701754385965,,069-068,68,69,,,37.6111503457,55.7807923449
109,,250,,7763,,,,2G,EDGE,2,,,-95.0,,,7763-250,,0.84,,0.710526315789,,069-068,68,69,,,37.6108741678,55.7807831389
110,,250,,7763,,,,2G,EDGE,2,,,-94.0,,,7763-250,,0.84,,0.719298245614,,069-068,68,69,,,37.6105979899,55.780773933
111,,250,,7763,,,,2G,EDGE,2,,,-94.0,,,7763-250,,0.84,,0.728070175439,,069-068,68,69,,,37.6103230534,55.7807576905
112,,250,,7763,,,,2G,EDGE,2,,,-93.0,,,7763-250,,0.84,,0.736842105263,,069-068,68,69,,,37.6100490429,55.7807361995
113,,250,,7763,,,,2G,EDGE,2,,,-91.0,,,7763-250,,0.84,,0.745614035088,,069-068,68,69,,,37.6097750323,55.7807147084
114,,250,,7763,,,,2G,EDGE,2,,,-91.0,,,7763-250,,0.84,,0.754385964912,,069-068,68,69,,,37.6095010218,55.7806932174
115,,250,,7763,,,,2G,EDGE,2,,,-90.0,,,7763-250,,0.84,,0.763157894737,,069-068,68,69,,,37.609227771,55.7806688883
116,,250,,7763,,,,2G,EDGE,2,,,-90.0,,,7763-250,,0.84,,0.771929824561,,069-068,68,69,,,37.608954654,55.7806440595
117,,250,,7763,,,,2G,EDGE,2,,,-89.0,,,7763-250,,0.84,,0.780701754386,,069-068,68,69,,,37.608681537,55.7806192307
118,,250,,7763,,,,2G,EDGE,2,,,-87.0,,,7763-250,,0.84,,0.789473684211,,069-068,68,69,,,37.6084095172,55.7805914154
119,,250,,7763,,,,2G,EDGE,2,,,-85.0,,,7763-250,,0.84,,0.798245614035,,069-068,68,69,,,37.6081412666,55.7805533412
120,,250,,7763,,,,2G,EDGE,2,,,-83.0,,,7763-250,,0.84,,0.80701754386,,069-068,68,69,,,37.6078730159,55.7805152669
121,,250,,7763,,,,2G,EDGE,2,,,-79.0,,,7763-250,,0.84,,0.815789473684,,069-068,68,69,,,37.6076047653,55.7804771926
122,,250,,7763,,,,2G,EDGE,2,,,-77.0,,,7763-250,,0.84,,0.824561403509,,069-068,68,69,,,37.6073365147,55.7804391183
123,,250,,7763,,,,2G,EDGE,2,,,-75.0,,,7763-250,,0.84,,0.833333333333,,069-068,68,69,,,37.6070682641,55.780401044
124,,250,,7763,,,,2G,EDGE,2,,,-75.0,,,7763-250,,0.84,,0.842105263158,,069-068,68,69,,,37.6067995177,55.780364115
125,,250,,7763,,,,2G,EDGE,2,,,-74.0,,,7763-250,,0.84,,0.850877192982,,069-068,68,69,,,37.6065301587,55.7803286014
126,,250,,7763,,,,2G,EDGE,2,,,-72.0,,,7763-250,,0.84,,0.859649122807,,069-068,68,69,,,37.6062607997,55.7802930878
127,,250,,7763,,,,2G,EDGE,2,,,-69.0,,,7763-250,,0.84,,0.868421052632,,069-068,68,69,,,37.6059914407,55.7802575741
128,,250,,7763,,,,2G,EDGE,2,,,-67.0,,,7763-250,,0.84,,0.877192982456,,069-068,68,69,,,37.6057220817,55.7802220605
129,,250,,7763,,,,2G,EDGE,2,,,-65.0,,,7763-250,,0.84,,0.885964912281,,069-068,68,69,,,37.6054527228,55.7801865467
130,,250,,7763,,,,2G,EDGE,2,,,-66.0,,,7763-250,,0.84,,0.894736842105,,069-068,68,69,,,37.6051833638,55.780151033
131,,250,,7763,,,,2G,EDGE,2,,,-61.0,,,7763-250,,0.84,,0.90350877193,,069-068,68,69,,,37.6049140048,55.7801155192
132,,250,,7763,,,,2G,EDGE,2,,,-57.0,,,7763-250,,0.84,,0.912280701754,,069-068,68,69,,,37.6046446458,55.7800800054
133,,250,,7763,,,,2G,EDGE,2,,,-57.0,,,7763-250,,0.84,,0.921052631579,,069-068,68,69,,,37.6043752868,55.7800444915
134,,250,,7763,,,,2G,EDGE,2,,,-57.0,,,7763-250,,0.84,,0.929824561404,,069-068,68,69,,,37.6041059278,55.7800089776
135,,250,,7763,,,,2G,EDGE,2,,,-57.0,,,7763-250,,0.84,,0.938596491228,,069-068,68,69,,,37.6038365689,55.7799734637
136,,250,,7763,,,,2G,EDGE,2,,,-57.0,,,7763-250,,0.84,,0.947368421053,,069-068,68,69,,,37.6035672099,55.7799379497
137,,250,,7763,,,,2G,EDGE,2,,,-59.0,,,7763-250,,0.84,,0.956140350877,,069-068,68,69,,,37.6032978509,55.7799024358
138,,250,,7763,,,,2G,EDGE,2,,,-59.0,,,7763-250,,0.84,,0.964912280702,,069-068,68,69,,,37.6030284919,55.7798669217
139,,250,,7763,,,,2G,EDGE,2,,,-59.0,,,7763-250,,0.84,,0.973684210526,,069-068,68,69,,,37.6027591329,55.7798314077
140,,370,,7736,,,,2G,EDGE,2,,,-64.0,,,7736-370,,0.76,,0.0,,073-074,74,73,,,37.63767,55.73178
141,,370,,7736,,,,2G,EDGE,2,,,-64.0,,,7736-370,,0.76,,0.0126582278481,,073-074,74,73,,,37.6374674478,55.731741277
142,,370,,7736,,,,2G,EDGE,2,,,-63.0,,,7736-370,,0.76,,0.0253164556962,,073-074,74,73,,,37.6372648957,55.7317025539
143,,370,,7736,,,,2G,EDGE,2,,,-63.0,,,7736-370,,0.76,,0.0379746835443,,073-074,74,73,,,37.6370623435,55.7316638308
144,,370,,7736,,,,2G,EDGE,2,,,-65.0,,,7736-370,,0.76,,0.0506329113924,,073-074,74,73,,,37.6368597914,55.7316251076
145,,370,,7736,,,,2G,EDGE,2,,,-68.0,,,7736-370,,0.76,,0.0632911392405,,073-074,74,73,,,37.6366572392,55.7315863845
146,,370,,7736,,,,2G,EDGE,2,,,-71.0,,,7736-370,,0.76,,0.0759493670886,,073-074,74,73,,,37.6364546871,55.7315476612
147,,370,,7736,,,,2G,EDGE,2,,,-73.0,,,7736-370,,0.76,,0.0886075949367,,073-074,74,73,,,37.6362521349,55.731508938
148,,370,,7736,,,,2G,EDGE,2,,,-75.0,,,7736-370,,0.76,,0.101265822785,,073-074,74,73,,,37.6360495827,55.7314702147
149,,370,,7736,,,,2G,EDGE,2,,,-81.0,,,7736-370,,0.76,,0.113924050633,,073-074,74,73,,,37.6358470306,55.7314314913
150,,370,,7736,,,,2G,EDGE,2,,,-87.0,,,7736-370,,0.76,,0.126582278481,,073-074,74,73,,,37.6356444784,55.7313927679
151,,370,,7736,,,,2G,EDGE,2,,,-87.0,,,7736-370,,0.76,,0.139240506329,,073-074,74,73,,,37.6354622747,55.7313300981
152,,370,,7736,,,,2G,EDGE,2,,,-89.0,,,7736-370,,0.76,,0.151898734177,,073-074,74,73,,,37.6352875121,55.7312610202
153,,370,,7736,,,,2G,EDGE,2,,,-93.0,,,7736-370,,0.76,,0.164556962025,,073-074,74,73,,,37.6351223979,55.7311844457
154,,370,,7736,,,,2G,EDGE,2,,,-94.0,,,7736-370,,0.76,,0.177215189873,,073-074,74,73,,,37.6349572836,55.731107871
155,,370,,7736,,,,2G,EDGE,2,,,-96.0,,,7736-370,,0.76,,0.189873417722,,073-074,74,73,,,37.6347921694,55.7310312961
156,,370,,7736,,,,2G,EDGE,2,,,-96.0,,,7736-370,,0.76,,0.20253164557,,073-074,74,73,,,37.6346300096,55.7309529004
157,,370,,7736,,,,2G,EDGE,2,,,-98.0,,,7736-370,,0.76,,0.215189873418,,073-074,74,73,,,37.6344797028,55.7308671997
158,,370,,7736,,,,2G,EDGE,2,,,-98.0,,,7736-370,,0.76,,0.227848101266,,073-074,74,73,,,37.634329396,55.7307814988
159,,370,,7736,,,,2G,EDGE,2,,,-99.0,,,7736-370,,0.76,,0.240506329114,,073-074,74,73,,,37.6341790892,55.7306957978
160,,370,,7736,,,,2G,EDGE,2,,,-99.0,,,7736-370,,0.76,,0.253164556962,,073-074,74,73,,,37.6340287824,55.7306100966
161,,370,,7736,,,,2G,EDGE,2,,,-100.0,,,7736-370,,0.76,,0.26582278481,,073-074,74,73,,,37.6338784756,55.7305243951
162,,370,,7736,,,,2G,EDGE,2,,,-101.0,,,7736-370,,0.76,,0.278481012658,,073-074,74,73,,,37.6337281688,55.7304386935
163,,370,,7736,,,,2G,EDGE,2,,,-101.0,,,7736-370,,0.76,,0.291139240506,,073-074,74,73,,,37.6335778619,55.7303529917
164,,370,,7736,,,,2G,EDGE,2,,,-102.0,,,7736-370,,0.76,,0.303797468354,,073-074,74,73,,,37.6334155615,55.7302749482
165,,370,,7736,,,,2G,EDGE,2,,,-102.0,,,7736-370,,0.76,,0.316455696203,,073-074,74,73,,,37.6332457543,55.7302016981
166,,370,,7736,,,,2G,EDGE,2,,,-103.0,,,7736-370,,0.76,,0.329113924051,,073-074,74,73,,,37.633075947,55.7301284478
167,,370,,7736,,,,2G,EDGE,2,,,-103.0,,,7736-370,,0.76,,0.341772151899,,073-074,74,73,,,37.6329048279,55.7300561783
168,,370,,7736,,,,2G,EDGE,2,,,-103.0,,,7736-370,,0.76,,0.354430379747,,073-074,74,73,,,37.6327280167,55.7299891656
169,,350,,7736,,,,2G,EDGE,3,,,-99.0,,,7736-350,,0.81,,0.367088607595,,073-074,74,73,,,37.6325335573,55.7299389825
