segment,pathTime,stdev
139-140,132.7,6.55
140-139,112.2,2.99
140-141,115.7,0.0
141-140,78.0,35.16
141-142,105.9,1.92
142-141,108.1,0.0
142-143,156.5,42.13
143-142,171.5,0.0
143-144,209.2,3.44
144-143,118.9,70.89
144-145,108.0,2.54
145-144,110.2,0.0
145-146,83.8,9.49
146-145,87.5,0.0
146-147,90.7,2.11
147-146,99.8,0.0
147-148,107.7,0.69
148-149,145.1,4.64
149-150,86.6,5.36
150-149,68.2,0.0
150-162,125.9,0.55
151-152,149.9,1.52
151-219,138.8,6.33
152-151,150.5,3.44
152-153,128.9,1.93
153-152,129.8,0.51
153-161,124.1,5.51
154-155,210.8,0.0
154-161,121.0,5.44
155-154,201.9,0.63
155-156,129.6,0.0
156-155,180.5,0.2
156-157,162.5,0.0
157-156,162.2,0.28
157-158,158.2,0.0
158-157,169.1,0.04
158-159,144.0,37.82
159-158,118.0,7.99
159-220,148.9,0.0
161-153,128.9,1.8
161-154,102.1,0.94
162-150,126.8,0.0
162-163,97.5,2.31
163-162,94.1,0.0
163-164,152.5,0.5
164-163,135.8,0.0
165-042,43.9,1.73
165-216,46.1,4.3
166-219,126.7,0.0
186-079,44.8,0.0
188-057,32.2,0.0
189-188,86.2,0.0
191-231,165.5,1.64
192-191,266.1,0.84
192-193,77.8,0.64
193-192,76.3,1.06
193-194,84.3,0.57
194-193,87.4,6.14
195-194,98.4,0.79
210-216,45.4,40.67
211-066,50.6,0.0
214-215,34.2,0.0
215-214,39.8,0.0
216-165,35.6,0.26
216-210,119.8,0.0
219-151,145.8,6.65
219-166,127.9,0.0
220-159,146.8,0.0
220-221,111.4,0.0
221-220,118.1,0.0
221-222,91.5,0.0
222-221,90.0,0.0
226-024,180.2,0.0
227-118,66.2,2.44
231-232,163.5,0.6
234-125,131.8,0.0
234-126,81.6,0.0
235-019,36.5,0.0
