Segment,lc,user,race_id,mean,meas,stdev,system,weight
143-144,7755-10424399,bishop,159357011,-87.0,1.0,0.0,,inf
144-145,770-602,User1,16886125,-71.8965517241,29.0,1.62618291346,1.15281514576,0.378147482014
144-145,770-602,bishop,16886125,-69.0,2.0,2.0,-1.74373657838,0.25
145-146,770-602,User1,334963268,-75.6666666667,18.0,3.88730126323,0.0,0.0661764705882
145-146,770-602,bishop,334963268,-89.0,1.0,0.0,,inf
146-147,26802-4015,User1,73407451,-75.0833333333,24.0,2.67576572633,-1.22967226716,0.139670223084
146-147,26802-4015,bishop,73407451,-77.0,2.0,2.0,0.686994399502,0.25
147-148,26802-4016,User1,411500584,-74.8095238095,21.0,1.73532068174,2.10912810574,0.332078313253
147-148,26802-4016,bishop,411500584,-72.0,2.0,1.0,-0.700395703787,1.0
148-149,7717-10454314,Anna,598429949,-60.0,22.0,9.90408547474,-17.8709486402,0.0101946246525
148-149,7717-10454314,User1,609992867,-78.0526315789,19.0,0.998613997948,0.18168293874,1.00277777778
148-149,7717-10454314,bishop,609992867,-77.0,2.0,0.0,,inf
149-150,770-41832,Bishop,526671066,-81.0,21.0,5.20073254913,2.25621405344,0.0369718309859
149-150,770-41832,User1,722043573,-78.7391304348,23.0,2.45334538777,-0.00465551178225,0.16614321608
149-150,770-41832,bishop,722043573,-78.0,2.0,3.0,-0.743785946565,0.111111111111
162-163,770-41831,Bishop,710894525,-65.3333333333,30.0,4.22952584682,0.399250111862,0.055900621118
162-163,770-41831,User1,915134085,-64.7647058824,17.0,7.54226843521,-0.169377339119,0.0175790754258
162-163,770-41831,bishop,915134085,-63.0,2.0,10.0,-1.93408322147,0.01
191-192,655-7803662,User1,349783107,-51.5555555556,18.0,0.895806416478,-0.197869101979,1.24615384615
191-192,655-7803662,bishop,349783107,-52.0,2.0,1.0,0.246575342466,1.0
192-191,26802-4035,User1,122881814,-62.1764705882,34.0,1.75684523801,-0.992177408359,0.32399103139
192-191,26802-4035,User1,691611843,-66.4838709677,31.0,4.92440248704,3.31522297115,0.0412375557844
192-191,26802-4035,bishop,122881814,-60.0,2.0,3.0,-3.16864799659,0.111111111111
192-191,26802-4035,bishop,691611843,-68.0,2.0,3.0,4.83135200341,0.111111111111
192-193,655-7808279,User1,589432735,-78.8260869565,23.0,3.484776506,0.0,0.0823474470735
192-193,655-7808279,bishop,589432735,-75.0,1.0,0.0,,inf
193-192,655-7803662,Bishop,908173446,-64.1666666667,12.0,0.986013297183,-1.49823027061,1.02857142857
193-192,655-7803662,User1,132085183,-82.2380952381,21.0,4.06968773699,16.5731983008,0.0603778751369
193-192,655-7803662,User1,776697547,-65.1818181818,22.0,2.62221910943,-0.483078755457,0.145432692308
193-192,655-7803662,bishop,132085183,-80.0,2.0,5.0,14.3351030627,0.04
193-192,655-7803662,bishop,776697547,-66.0,2.0,3.0,0.335103062725,0.111111111111
193-194,655-7799193,User1,697443293,-67.0689655172,29.0,1.70052800082,-0.810261535899,0.345805921053
193-194,655-7799193,bishop,697443293,-69.0,2.0,2.0,1.12077294686,0.25
194-193,655-7801361,User1,196868684,-85.4705882353,17.0,1.09101394065,-0.350745098039,0.84011627907
194-193,655-7801361,bishop,196868684,-87.0,2.0,2.0,1.17866666667,0.25
194-193,655-7808279,Bishop,787820858,-79.5555555556,18.0,3.18367750709,1.16434435986,0.0986601705238
194-193,655-7808279,User1,220567631,-78.2857142857,14.0,0.9583148475,-0.105496909982,1.08888888889
194-193,655-7808279,bishop,220567631,-79.0,1.0,0.0,,inf
195-194,655-10045,User1,466237652,-76.8181818182,11.0,11.2315965174,0.0,0.00792714884696
195-194,655-10045,bishop,466237652,-67.0,1.0,0.0,,inf
195-194,655-7814441,User1,466237652,-95.5714285714,7.0,0.903507902905,0.0,1.225
195-194,655-7814441,bishop,466237652,-95.0,1.0,0.0,,inf
226-028,770-493,Bishop,205981677,-101.0,4.0,0.0,,inf
226-028,770-493,md,101795065,-75.3529411765,17.0,1.84522201663,0.0,0.293699186992
231-232,770-561,User1,847992528,-60.8279569892,93.0,6.67304585533,0.0,0.0224570022018
231-232,770-561,bishop,847992528,-67.0,1.0,0.0,,inf
