index,Active,CID,DateTime,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,NumRaces,NumUsers,PSC,Power,TimeStamp,User,few,laccid,netOperators,quality,race_id,ratio,rawPower,segment,segment_end_id,segment_start_id,session_id,source_file,x,y
8279,1,22396,22.10.2015 20:27:06,,7803,250.0,2.0,ServiceLog,2G,GPRS,1,1.0,-1.0,-73.0,1.4455348267e+12,natalie,0,7803-22396,25002.0,,1445534800.0,0.117318435754,-73.0,034-035,35,34,543715526.0,034-035-201510222026-natalie-move.csv,30.3108163846,59.9680422807
8280,1,14133,01.01.2013 9:58:05,,7803,250.0,2.0,ServiceLog,2G,GPRS,1,1.0,-1.0,-51.0,1.35702348532e+12,gsmart,0,7803-14133,25002.0,,1445534800.0,0.122905027933,-51.0,034-035,35,34,543715526.0,034-035-201301010957-gsmart-move.csv,30.3107556867,59.9681534906
8281,250-1-100-3731,14167,22 окт. 2015 г. 20:27:07,,7803,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-75.0,1.44553482739e+12,lena ,0,7803-14167,25002.0,,1445534800.0,0.122905027933,-75.0,034-035,35,34,543715526.0,034-035-201510222026-lena -move.csv,30.3107556867,59.9681534906
8282,250-1-100-3731,22395,22 окт. 2015 г. 20:27:07,,7803,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-95.0,1.44553482739e+12,lena ,0,7803-22395,25002.0,,1445534800.0,0.122905027933,-95.0,034-035,35,34,543715526.0,034-035-201510222026-lena -move.csv,30.3107556867,59.9681534906
8283,1,22396,22.10.2015 20:27:06,,7803,250.0,2.0,ServiceLog,2G,GPRS,1,1.0,-1.0,-73.0,1.4455348267e+12,natalie,0,7803-22396,25002.0,,1445534800.0,0.122905027933,-73.0,034-035,35,34,543715526.0,034-035-201510222026-natalie-move.csv,30.3107556867,59.9681534906
8284,1,14133,01.01.2013 9:58:06,,7803,250.0,2.0,ServiceLog,2G,GPRS,1,1.0,-1.0,-51.0,1.35702348635e+12,gsmart,0,7803-14133,25002.0,,1445534800.0,0.128491620112,-51.0,034-035,35,34,543715526.0,034-035-201301010957-gsmart-move.csv,30.3106949887,59.9682647002
8285,250-1-100-3731,14167,22 окт. 2015 г. 20:27:08,,7803,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-75.0,1.44553482840e+12,lena ,0,7803-14167,25002.0,,1445534800.0,0.128491620112,-75.0,034-035,35,34,543715526.0,034-035-201510222026-lena -move.csv,30.3106949887,59.9682647002
8286,250-1-100-3731,22395,22 окт. 2015 г. 20:27:08,,7803,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-95.0,1.44553482840e+12,lena ,0,7803-22395,25002.0,,1445534800.0,0.128491620112,-95.0,034-035,35,34,543715526.0,034-035-201510222026-lena -move.csv,30.3106949887,59.9682647002
8287,1,22396,22.10.2015 20:27:07,,7803,250.0,2.0,ServiceLog,2G,GPRS,1,1.0,-1.0,-73.0,1.44553482771e+12,natalie,0,7803-22396,25002.0,,1445534800.0,0.128491620112,-73.0,034-035,35,34,543715526.0,034-035-201510222026-natalie-move.csv,30.3106949887,59.9682647002
8288,1,14133,01.01.2013 9:58:07,,7803,250.0,2.0,ServiceLog,2G,GPRS,1,1.0,-1.0,-51.0,1.35702348737e+12,gsmart,0,7803-14133,25002.0,,1445534800.0,0.134078212291,-51.0,034-035,35,34,543715526.0,034-035-201301010957-gsmart-move.csv,30.3106342907,59.9683759094
8289,250-1-100-3731,14167,22 окт. 2015 г. 20:27:08,,7803,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-75.0,1.44553482840e+12,lena ,0,7803-14167,25002.0,,1445534800.0,0.134078212291,-75.0,034-035,35,34,543715526.0,034-035-201510222026-lena -move.csv,30.3106342907,59.9683759094
8290,250-1-100-3731,22395,22 окт. 2015 г. 20:27:08,,7803,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-95.0,1.44553482840e+12,lena ,0,7803-22395,25002.0,,1445534800.0,0.134078212291,-95.0,034-035,35,34,543715526.0,034-035-201510222026-lena -move.csv,30.3106342907,59.9683759094
8291,1,22396,22.10.2015 20:27:08,,7803,250.0,2.0,ServiceLog,2G,GPRS,1,1.0,-1.0,-78.0122107142,1.44553482873e+12,natalie,0,7803-22396,25002.0,,1445534800.0,0.134078212291,-78.0122107142,034-035,35,34,543715526.0,034-035-201510222026-natalie-move.csv,30.3106342907,59.9683759094
8292,1,14133,01.01.2013 9:58:08,,7803,250.0,2.0,ServiceLog,2G,GPRS,1,1.0,-1.0,-51.0,1.35702348840e+12,gsmart,0,7803-14133,25002.0,,1445534800.0,0.139664804469,-51.0,034-035,35,34,543715526.0,034-035-201301010957-gsmart-move.csv,30.3105735927,59.9684871183
8293,250-1-100-3731,14167,22 окт. 2015 г. 20:27:09,,7803,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-75.0,1.44553482945e+12,lena ,0,7803-14167,25002.0,,1445534800.0,0.139664804469,-75.0,034-035,35,34,543715526.0,034-035-201510222026-lena -move.csv,30.3105735927,59.9684871183
8294,250-1-100-3731,22395,22 окт. 2015 г. 20:27:09,,7803,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-95.0,1.44553482945e+12,lena ,0,7803-22395,25002.0,,1445534800.0,0.139664804469,-95.0,034-035,35,34,543715526.0,034-035-201510222026-lena -move.csv,30.3105735927,59.9684871183
8295,1,22396,22.10.2015 20:27:09,,7803,250.0,2.0,ServiceLog,2G,GPRS,1,1.0,-1.0,-79.0,1.44553482976e+12,natalie,0,7803-22396,25002.0,,1445534800.0,0.139664804469,-79.0,034-035,35,34,543715526.0,034-035-201510222026-natalie-move.csv,30.3105735927,59.9684871183
8296,1,14133,01.01.2013 9:58:09,,7803,250.0,2.0,ServiceLog,2G,GPRS,1,1.0,-1.0,-51.0,1.35702348943e+12,gsmart,0,7803-14133,25002.0,,1445534800.0,0.145251396648,-51.0,034-035,35,34,543715526.0,034-035-201301010957-gsmart-move.csv,30.3105128947,59.9685983267
8297,1,22396,22.10.2015 20:27:10,,7803,250.0,2.0,ServiceLog,2G,GPRS,1,1.0,-1.0,-79.0,1.44553483078e+12,natalie,0,7803-22396,25002.0,,1445534800.0,0.145251396648,-79.0,034-035,35,34,543715526.0,034-035-201510222026-natalie-move.csv,30.3105128947,59.9685983267
8298,1,14133,01.01.2013 9:58:10,,7803,250.0,2.0,ServiceLog,2G,GPRS,1,1.0,-1.0,-51.0,1.35702349046e+12,gsmart,0,7803-14133,25002.0,,1445534800.0,0.150837988827,-51.0,034-035,35,34,543715526.0,034-035-201301010957-gsmart-move.csv,30.3104521967,59.9687095348
8299,1,22396,22.10.2015 20:27:11,,7803,250.0,2.0,ServiceLog,2G,GPRS,1,1.0,-1.0,-79.0,1.4455348318e+12,natalie,0,7803-22396,25002.0,,1445534800.0,0.150837988827,-79.0,034-035,35,34,543715526.0,034-035-201510222026-natalie-move.csv,30.3104521967,59.9687095348
8300,1,14133,01.01.2013 9:58:11,,7803,250.0,2.0,ServiceLog,2G,GPRS,1,1.0,-1.0,-51.0,1.35702349149e+12,gsmart,0,7803-14133,25002.0,,1445534800.0,0.156424581006,-51.0,034-035,35,34,543715526.0,034-035-201301010957-gsmart-move.csv,30.3103914987,59.9688207425
