ID;Name;User;TimeStamp;Type;Accel_X;Accel_Y;Accel_Z
;ServiceLog;md;1418109795975;Raw;-0.06810174;2.901134;8.839605
;ServiceLog;md;1418109797004;Raw;-0.21792556;2.4108016;9.80665
;ServiceLog;md;1418109798037;Raw;0.21792556;3.2825038;8.921328
;ServiceLog;md;1418109799077;Raw;0.38136974;3.445948;8.539958
;ServiceLog;md;1418109800108;Raw;0.14982383;3.173541;8.921328
;ServiceLog;md;1418109801143;Raw;0.10896278;3.13268;8.458236
;ServiceLog;md;1418109802195;Raw;0.21792556;2.982856;9.193735
;ServiceLog;md;1418109803226;Raw;0.10896278;3.3233647;9.030291
;ServiceLog;md;1418109804259;Raw;0.10896278;3.255263;9.071152
;ServiceLog;md;1418109805301;Raw;0.3405087;3.091819;8.60806
;ServiceLog;md;1418109806332;Raw;0.14982383;3.173541;9.112013
;ServiceLog;md;1418109807362;Raw;0.21792556;3.214402;8.689782
;ServiceLog;md;1418109808392;Raw;0.29964766;3.405087;8.989429
;ServiceLog;md;1418109809423;Raw;0.44947147;3.636633;8.3765135
;ServiceLog;md;1418109810455;Raw;0.25878662;3.7864566;8.962189
;ServiceLog;md;1418109811474;Raw;0.38136974;3.7455957;8.689782
;ServiceLog;md;1418109812513;Raw;0.21792556;3.636633;8.580819
;ServiceLog;md;1418109813558;Raw;0.44947147;3.6774938;8.839605
;ServiceLog;md;1418109814596;Raw;0.53119355;3.7864566;8.417375
;ServiceLog;md;1418109815631;Raw;0.38136974;3.3642259;8.839605
;ServiceLog;md;1418109816664;Raw;0.5720546;3.636633;8.60806
;ServiceLog;md;1418109817707;Raw;0.38136974;3.13268;8.539958
;ServiceLog;md;1418109818745;Raw;0.3405087;3.445948;8.648921
;ServiceLog;md;1418109819798;Raw;0.4903325;3.6774938;8.308413
;ServiceLog;md;1418109820834;Raw;0.61291564;3.3642259;8.730643
;ServiceLog;md;1418109821864;Raw;0.40861043;3.5957718;8.539958
;ServiceLog;md;1418109822897;Raw;0.6810174;3.5549107;8.730643
;ServiceLog;md;1418109823930;Raw;0.7218784;2.8602731;9.452521
;ServiceLog;md;1418109824965;Raw;0.7627395;3.173541;8.962189
;ServiceLog;md;1418109825983;Raw;0.5720546;3.2825038;8.989429
;ServiceLog;md;1418109827010;Raw;0.4903325;3.173541;8.962189
;ServiceLog;md;1418109828030;Raw;0.53119355;3.091819;8.730643
;ServiceLog;md;1418109829048;Raw;1.0623871;3.5549107;8.989429
;ServiceLog;md;1418109830077;Raw;0.87170225;3.5140498;9.112013
;ServiceLog;md;1418109831121;Raw;0.7218784;3.255263;8.989429
;ServiceLog;md;1418109832177;Raw;0.9942854;3.4731886;8.499097
;ServiceLog;md;1418109833235;Raw;1.1032481;3.636633;8.580819
;ServiceLog;md;1418109834264;Raw;0.9942854;3.405087;8.689782
;ServiceLog;md;1418109835316;Raw;0.8036005;3.8954194;8.267551
;ServiceLog;md;1418109836344;Raw;0.95342433;3.3233647;9.152874
;ServiceLog;md;1418109837373;Raw;1.0215261;3.7047346;8.417375
;ServiceLog;md;1418109838404;Raw;1.1441092;3.214402;8.880466
;ServiceLog;md;1418109839464;Raw;1.1441092;2.901134;8.798744
;ServiceLog;md;1418109840494;Raw;1.293933;2.8602731;9.220976
;ServiceLog;md;1418109841530;Raw;1.484618;3.0237172;9.112013
;ServiceLog;md;1418109842558;Raw;1.253072;3.0237172;8.989429
;ServiceLog;md;1418109843587;Raw;1.293933;3.255263;8.921328
;ServiceLog;md;1418109844611;Raw;1.484618;3.214402;8.580819
