,index,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,session_id,source_file,x,y,laccid,segment,netOperators,ratio_before,Power_before,rawPower,NumRaces,NumUsers,coeffs,controls,method,maxCorrMinDelta
7284,51842,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435850650998,Andrey,1435850611,0.38822720622,99,98,597905036.0,098-099-201507021823-Andrey-move.csv,37.6072635599,55.7267150447,7736-340,098-099,25002,0.383864850657,-103,-103.0,7,3,0.964120852043,1.0,byCorr,1.0
7410,51991,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-99.0,1435850958711,Andrey,1435850918,0.398181749969,99,98,597905036.0,098-099-201507021828-Andrey-move.csv,37.6072643847,55.7267745941,7736-340,098-099,25002,0.378771095263,-99,-99.0,7,3,0.948207867191,1.0,byCorr,1.0
7365,51946,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-95.0,1435850901353,vlad,1435850918,0.447954468716,99,98,597905036.0,098-099-201507021827-vlad-move.csv,37.6072518789,55.7258716945,7736-340,098-099,25002,0.456002726544,-95,-95.0,7,3,0.974665725789,1.0,byCorr,1.0
7553,52162,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435851246169,Andrey,1435851203,0.418090837468,99,98,597905036.0,098-099-201507021833-Andrey-move.csv,37.607256849,55.7262305295,7736-340,098-099,25002,0.425309144657,-103,-103.0,7,3,0.966821423871,1.0,byCorr,1.0
7483,52092,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-93.0,1435851180032,vlad,1435851203,0.408136293719,99,98,597905036.0,098-099-201507021832-vlad-move.csv,37.6072609499,55.72652661,7736-340,098-099,25002,0.399983177264,-93,-93.0,7,3,0.982379156699,1.0,byCorr,1.0
7854,52693,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435915226779,Andrey,1435915183,0.418090837468,99,98,244724959.0,098-099-201507031219-Andrey-move.csv,37.6072570624,55.7262459339,7736-340,098-099,25002,0.423991500313,-103,-103.0,7,2,0.948673510955,1.0,byCorr,1.0
7931,52788,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435916338384,Andrey,1435916299,0.378272662471,99,98,244724959.0,098-099-201507031238-Andrey-move.csv,37.6072650742,55.7268243692,7736-340,098-099,25002,0.374513417977,-105,-105.0,7,2,0.960988782376,1.0,byCorr,1.0
8226,53470,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-95.0,1435850499788,Andrey,1435850455,0.474809407422,98,99,597905036.0,099-098-201507021820-Andrey-move.csv,37.6076228229,55.7247550963,7736-1000,099-098,25002,0.455695715936,-95,-95.0,5,3,0.98400214519,1.0,byCorr,1.0
8144,53388,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-89.0,1435850435543,vlad,1435850455,0.46407653084,98,99,597905036.0,099-098-201507021819-vlad-move.csv,37.6076227135,55.7247511796,7736-1000,099-098,25002,0.455349941363,-89,-89.0,5,3,0.94652391153,1.0,byCorr,1.0
8384,53639,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-95.0,1435850809959,Andrey,1435850763,0.496391653214,98,99,597905036.0,099-098-201507021826-Andrey-move.csv,37.6076387142,55.7253240085,7736-1000,099-098,25002,0.505920000208,-95,-95.0,5,3,0.8856415204,1.0,byCorr,1.0
8315,53570,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-85.0,1435850747691,vlad,1435850763,0.517973899006,98,99,597905036.0,099-098-201507021824-vlad-move.csv,37.6076447746,55.7255409724,7736-1000,099-098,25002,0.525074046182,-85,-85.0,5,3,0.865468077432,1.0,byCorr,1.0
8548,53816,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435851106483,Andrey,1435851060,0.496391653214,98,99,597905036.0,099-098-201507021831-Andrey-move.csv,37.6076367942,55.7252552723,7736-1000,099-098,25002,0.49985184363,-101,-101.0,5,3,0.971625805788,1.0,byCorr,1.0
8466,53734,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-89.0,1435851045306,vlad,1435851060,0.517973899006,98,99,597905036.0,099-098-201507021829-vlad-move.csv,37.607646687,55.7256094365,7736-1000,099-098,25002,0.531118221048,-89,-89.0,5,3,0.93853658826,1.0,byCorr,1.0
8875,54334,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-97.0,1435904361079,Andrey,1435904316,0.485600530318,98,99,828403345.0,099-098-201507030918-Andrey-move.csv,37.6076376266,55.7252850721,7736-1000,099-098,25002,0.502482627735,-97,-97.0,5,3,0.955322754221,1.0,byCorr,1.0
8798,54257,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-93.0,1435904294481,vlad,1435904316,0.485600530318,98,99,828403345.0,099-098-201507030917-vlad-move.csv,37.6076382759,55.72530832,7736-1000,099-098,25002,0.50453499171,-93,-93.0,5,3,0.960158116797,1.0,byCorr,1.0
9014,54585,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435916129578,Andrey,1435916076,0.571929513485,98,99,244724959.0,099-098-201507031234-Andrey-move.csv,37.6076382183,55.7253062555,7736-1000,099-098,25002,0.504352731541,-101,-101.0,5,2,0.954644293433,1.0,byCorr,1.0
9282,56173,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435851371382,Andrey,1435851320,0.326844763377,100,99,597905036.0,099-100-201507021835-Andrey-move.csv,37.6045820588,55.7139501603,7736-1000,099-100,25002,0.3341653279,-103,-103.0,3,3,0.981676417217,1.0,byCorr,1.0
9207,56098,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-91.0,1435851304062,vlad,1435851320,0.307234077574,100,99,597905036.0,099-100-201507021834-vlad-move.csv,37.6052151344,55.7142875473,7736-1000,099-100,25002,0.308525296764,-91,-91.0,3,3,0.819543206791,1.0,byCorr,1.0
9416,56478,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435915359151,Andrey,1435915305,0.34645544918,100,99,244724959.0,099-100-201507031221-Andrey-move.csv,37.6043425267,55.7138225049,7736-1000,099-100,25002,0.343866554626,-105,-105.0,3,2,0.972007075105,1.0,byCorr,1.0
9500,56622,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435916478568,Andrey,1435916431,0.307234077574,100,99,244724959.0,099-100-201507031240-Andrey-move.csv,37.6056808259,55.7145357279,7736-1000,099-100,25002,0.289664447122,-101,-101.0,3,2,0.981817168301,1.0,byCorr,1.0
9910,58156,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435904197407,Andrey,1435904128,0.42352116606,99,100,828403345.0,100-099-201507030915-Andrey-move.csv,37.5981303859,55.7103861551,7736-1010,100-099,25002,0.397779944978,-105,-105.0,3,3,0.988111908024,1.0,byCorr,1.0
9827,58073,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-99.0,1435904132949,vlad,1435904128,0.42352116606,99,100,828403345.0,100-099-201507030914-vlad-move.csv,37.5987560208,55.7106450567,7736-1010,100-099,25002,0.420318192256,-99,-99.0,3,3,0.978833890338,1.0,byCorr,1.0
10071,58567,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435915952894,Andrey,1435915883,0.417292913618,99,100,244724959.0,100-099-201507031231-Andrey-move.csv,37.5984575565,55.7105170231,7736-1010,100-099,25002,0.409418173769,-103,-103.0,3,2,0.980500067631,1.0,byCorr,1.0
10204,59007,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435915533513,Andrey,1435915497,0.193389065592,101,100,244724959.0,100-101-201507031224-Andrey-move.csv,37.5812758547,55.7043811348,7736-1010,100-101,25002,0.19647088134,-101,-101.0,1,2,0.977272316806,1.0,byCorr,1.0
10316,59878,1,1020,,7736,250,2,ServiceLog,2G,EDGE,-1,-85.0,1435903841185,vlad,1435903861,0.216395413684,100,101,828403345.0,101-100-201507030909-vlad-move.csv,37.5755924382,55.6914399156,7736-1020,101-100,25002,0.180047523862,-87,-85.0,2,2,0.971253081079,1.0,byCorr,1.0
10429,60429,1,1020,,7736,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435915742882,Andrey,1435915698,0.216395413684,100,101,244724959.0,101-100-201507031228-Andrey-move.csv,37.5761873916,55.6930312618,7736-1020,101-100,25002,0.255893026031,-105,-105.0,2,2,0.99525845973,1.0,byCorr,1.0
14946,89777,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435909510624,Andrey,1435909460,0.35357509114,219,151,77603657.0,151-219-201507031044-Andrey-move.csv,37.6515945058,55.7615534958,7763-160,151-219,25002,0.360613865987,-107,-107.0,5,2,0.792178356909,1.0,byCorr,1.0
15623,90742,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-113.0,1435913241771,Anna,1435909946,0.318217582026,219,151,77603657.0,151-219-201507031146-Anna-move.csv,37.652127965,55.7611356914,7763-160,151-219,25002,0.324569503863,-113,-113.0,5,2,0.665839399162,1.0,byCorr,1.0
15210,90041,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435910453072,Andrey,1435910406,0.332360585672,219,151,77603657.0,151-219-201507031100-Andrey-move.csv,37.652124822,55.7611381528,7763-160,151-219,25002,0.324781855319,-107,-106.856542912,5,2,0.728349531175,1.0,byCorr,1.0
15349,90180,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-97.0,1435910952736,Andrey,1435910902,0.346503589317,219,151,77603657.0,151-219-201507031108-Andrey-move.csv,37.652067823,55.7611827906,7763-160,151-219,25002,0.328632899765,-101,-97.9457159172,5,2,0.699887050755,1.0,byCorr,1.0
15575,90544,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-81.0,1435912842278,Anna,1435909460,0.617704397505,219,151,77603657.0,151-219-201507031138-Anna-move.csv,37.6399167508,55.7670110529,7763-640,151-219,25002,0.994964095358,-71,-81.0,5,2,0.94186917514,1.0,byCorr,1.0
15162,89993,1,640,2192.0,7763,250,2,Сретенский бульвар 2,2G,EDGE,-1,-75.0,1435910081119,Andrey,1435909946,0.646796131074,219,151,77603657.0,151-219-201507031052-Andrey-move.csv,37.6399304673,55.7670100847,7763-640,151-219,25002,0.994419129957,-75,-75.0,5,2,0.857766820798,1.0,byCorr,1.0
15845,90964,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-83.0,1435913793328,Anna,1435910406,0.661555868336,219,151,77603657.0,151-219-201507031154-Anna-move.csv,37.6400089772,55.7670045428,7763-640,151-219,25002,0.991299874928,-87,-83.0,5,2,0.766211077636,1.0,byCorr,1.0
15990,91109,1,640,2192.0,7763,250,2,Сретенский бульвар 2,2G,EDGE,-1,-85.0,1435914298012,Anna,1435910902,0.691402760803,219,151,77603657.0,151-219-201507031202-Anna-move.csv,37.6400109473,55.7670044037,7763-640,151-219,25002,0.991221600382,-85,-85.0,5,2,0.796555992327,1.0,byCorr,1.0
17775,100808,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-81.0,1435909773645,Andrey,1435909691,0.581580227347,151,219,77603657.0,219-151-201507031048-Andrey-move.csv,37.6506267482,55.7621177364,7763-640,219-151,25002,0.577085528031,-83,-81.7325382584,3,2,0.943324980382,1.0,byCorr,1.0
17923,100956,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-74.8745376447,1435910280923,Andrey,1435910194,0.602857552738,151,219,77603657.0,219-151-201507031056-Andrey-move.csv,37.6504928345,55.7622260076,7763-640,219-151,25002,0.567802125145,-83,-79.0,3,2,0.860248660945,1.0,byCorr,1.0
18068,101101,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-83.0,1435910743434,Andrey,1435910663,0.560302901956,151,219,77603657.0,219-151-201507031104-Andrey-move.csv,37.6507682431,55.7620033823,7763-640,219-151,25002,0.586891773407,-83,-83.0,3,2,0.807194861281,1.0,byCorr,1.0
