,index,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,session_id,source_file,x,y,laccid,segment,netOperators,ratio_before,Power_before,rawPower,NumRaces,NumUsers,coeffs,controls,method,maxCorrMinDelta
4036,33725,1,341,,7736,250,2,ServiceLog,2G,EDGE,-1,-87.0777066854,1435904709323,vlad,1435904753,0.31794568938,74,75,828403345.0,075-074-201507030924-vlad-move.csv,37.6123857261,55.7283871211,7736-341,075-074,25002,0.277043144154,-89,-87.0777066854,2,3,0.977013229654,1.0,byCorr,1.0
4298,33992,1,341,,7736,250,2,ServiceLog,2G,EDGE,-1,-99.0828943329,1435914470408,Andrey,1435914434,0.483457676561,74,75,244724959.0,075-074-201507031207-Andrey-move.csv,37.6150838435,55.72811,7736-341,075-074,25002,0.478646303133,-107,-106.303359619,2,2,0.980927697152,1.0,byCorr,1.0
4255,33944,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-68.4449512239,1435908067334,Anna,1435904753,0.882295863141,74,75,828403345.0,075-074-201507031020-Anna-move.csv,37.62144722,55.7284794015,7736-350,075-074,25002,0.94739931152,-57,-68.4449512239,2,2,0.980154078159,1.0,byCorr,1.0
4434,34128,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-63.0,1435917292541,Anna,1435914434,0.896081736003,74,75,244724959.0,075-074-201507031253-Anna-move.csv,37.6215911358,55.7284896178,7736-350,075-074,25002,0.958019800416,-59,-69.0,2,2,0.986892845855,1.0,byCorr,1.0
7279,51837,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435850645703,Andrey,1435850611,0.338293914904,99,98,597905036.0,098-099-201507021823-Andrey-move.csv,37.6073677964,55.7274190584,7736-340,098-099,25002,0.323109280411,-103,-103.0,7,3,0.970267284404,1.0,byCorr,1.0
7407,51988,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-99.0,1435850955670,Andrey,1435850918,0.368143377983,99,98,597905036.0,098-099-201507021828-Andrey-move.csv,37.607269968,55.7271776865,7736-340,098-099,25002,0.344291074693,-99,-99.0,7,3,0.97881262174,1.0,byCorr,1.0
7365,51946,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-95.0,1435850901353,vlad,1435850918,0.447741946196,99,98,597905036.0,098-099-201507021827-vlad-move.csv,37.6072518789,55.7258716945,7736-340,098-099,25002,0.456002726544,-95,-95.0,7,3,0.963614214627,1.0,byCorr,1.0
7550,52159,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435851243109,Andrey,1435851203,0.388043020036,99,98,597905036.0,098-099-201507021833-Andrey-move.csv,37.607262623,55.7266474025,7736-340,098-099,25002,0.38965083577,-103,-103.0,7,3,0.95156733799,1.0,byCorr,1.0
7480,52089,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-93.0,1435851176946,vlad,1435851203,0.37809319901,99,98,597905036.0,098-099-201507021832-vlad-move.csv,37.6072667375,55.7269444558,7736-340,098-099,25002,0.364241384964,-93,-93.0,7,3,0.974011393958,1.0,byCorr,1.0
7855,52694,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435915227827,Andrey,1435915183,0.427842304143,99,98,244724959.0,098-099-201507031219-Andrey-move.csv,37.6072551187,55.7261056055,7736-340,098-099,25002,0.435994774386,-103,-103.0,7,2,0.945072753935,1.0,byCorr,1.0
7929,52786,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435916336184,Andrey,1435916299,0.358193556957,99,98,244724959.0,098-099-201507031238-Andrey-move.csv,37.6072691322,55.7271173502,7736-340,098-099,25002,0.349452188285,-105,-105.0,7,2,0.95735673766,1.0,byCorr,1.0
7612,52256,1,1000,991.0,7736,250,2,Шаболовская 1,2G,EDGE,-1,-71.9653169847,1435853670423,Anna,1435850333,0.826989610254,99,98,597905036.0,098-099-201507021913-Anna-move.csv,37.6077340848,55.7205695962,7736-1000,098-099,25002,0.910688862714,-55,-71.0,6,2,0.628012119994,1.0,byCorr,1.0
8223,53467,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-95.0,1435850496742,Andrey,1435850455,0.442206139097,98,99,597905036.0,099-098-201507021820-Andrey-move.csv,37.6076110073,55.7243320872,7736-1000,099-098,25002,0.418352411262,-95,-95.0,5,3,0.979112130644,1.0,byCorr,1.0
8141,53385,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-89.0,1435850432448,vlad,1435850455,0.43189630174,98,99,597905036.0,099-098-201507021819-vlad-move.csv,37.6076107822,55.7243240311,7736-1000,099-098,25002,0.417641218136,-89,-89.0,5,3,0.920058447172,1.0,byCorr,1.0
8381,53636,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-95.0,1435850806930,Andrey,1435850763,0.463777170272,98,99,597905036.0,099-098-201507021826-Andrey-move.csv,37.6076267901,55.7248971227,7736-1000,099-098,25002,0.468233917594,-95,-95.0,5,3,0.955352690912,1.0,byCorr,1.0
8311,53566,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-85.0,1435850743543,vlad,1435850763,0.47456268586,98,99,597905036.0,099-098-201507021824-vlad-move.csv,37.6076283146,55.7249516999,7736-1000,099-098,25002,0.473052048414,-85,-85.0,5,3,0.903254014527,1.0,byCorr,1.0
8545,53813,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435851103440,Andrey,1435851060,0.463777170272,98,99,597905036.0,099-098-201507021831-Andrey-move.csv,37.6076246756,55.7248214251,7736-1000,099-098,25002,0.461551266706,-101,-101.0,5,3,0.967946271929,1.0,byCorr,1.0
8463,53731,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-89.0,1435851041211,vlad,1435851060,0.485348201448,98,99,597905036.0,099-098-201507021829-vlad-move.csv,37.6076304039,55.725026499,7736-1000,099-098,25002,0.479655394509,-89,-89.0,5,3,0.926670444281,1.0,byCorr,1.0
8870,54329,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-97.0,1435904355902,Andrey,1435904316,0.431420623509,98,99,828403345.0,099-098-201507030918-Andrey-move.csv,37.6076162795,55.7245208385,7736-1000,099-098,25002,0.435015354152,-97,-97.0,5,3,0.947451048709,1.0,byCorr,1.0
8794,54253,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-93.0,1435904290380,vlad,1435904316,0.442206139097,98,99,828403345.0,099-098-201507030917-vlad-move.csv,37.6076213368,55.7247018928,7736-1000,099-098,25002,0.450998882213,-93,-93.0,5,3,0.940764093391,1.0,byCorr,1.0
9010,54581,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435916125476,Andrey,1435916076,0.528490263799,98,99,244724959.0,099-098-201507031234-Andrey-move.csv,37.6076241674,55.7248032312,7736-1000,099-098,25002,0.459945095015,-101,-101.0,5,2,0.96237145642,1.0,byCorr,1.0
9613,56924,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-71.0,1435918235954,Anna,1435915305,0.911500554266,100,99,244724959.0,099-100-201507031308-Anna-move.csv,37.5870046183,55.7082955011,7736-1010,099-100,25002,0.957063618967,-59,-72.2741226607,5,2,0.844645752694,1.0,byCorr,1.0
9279,56170,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435851368316,Andrey,1435851320,0.307078825177,100,99,597905036.0,099-100-201507021835-Andrey-move.csv,37.6051566058,55.7142563556,7736-1000,099-100,25002,0.310895746937,-103,-103.0,3,3,0.980552111232,1.0,byCorr,1.0
9207,56098,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-91.0,1435851304062,vlad,1435851320,0.307078825177,100,99,597905036.0,099-100-201507021834-vlad-move.csv,37.6052151344,55.7142875473,7736-1000,099-100,25002,0.308525296764,-91,-91.0,3,3,0.945025589257,1.0,byCorr,1.0
9411,56473,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435915354084,Andrey,1435915305,0.313612417202,100,99,244724959.0,099-100-201507031221-Andrey-move.csv,37.6052520981,55.7143072464,7736-1000,099-100,25002,0.307028238225,-105,-105.0,3,2,0.965094855324,1.0,byCorr,1.0
9497,56619,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-98.9405262569,1435916475478,Andrey,1435916431,0.287478049102,100,99,244724959.0,099-100-201507031240-Andrey-move.csv,37.6062235682,55.7148249691,7736-1000,099-100,25002,0.26768298444,-101,-98.9405262569,3,2,0.975500091503,1.0,byCorr,1.0
9905,58151,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.96256391,1435904192164,Andrey,1435904128,0.392222404952,99,100,828403345.0,100-099-201507030915-Andrey-move.csv,37.5971436504,55.7100473485,7736-1010,100-099,25002,0.364089984969,-105,-103.96256391,3,3,0.985990902909,1.0,byCorr,1.0
9822,58068,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-97.1160718019,1435904124734,vlad,1435904128,0.392222404952,99,100,828403345.0,100-099-201507030914-vlad-move.csv,37.5972576426,55.7100745512,7736-1010,100-099,25002,0.367680712267,-99,-97.1160718019,3,3,0.974433338182,1.0,byCorr,1.0
10065,58561,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435915946602,Andrey,1435915883,0.379770900033,99,100,244724959.0,100-099-201507031231-Andrey-move.csv,37.5972762794,55.7100789986,7736-1010,100-099,25002,0.368267767079,-103,-103.0,3,2,0.982373634595,1.0,byCorr,1.0
10200,59003,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435915529458,Andrey,1435915497,0.171901391637,101,100,244724959.0,100-101-201507031224-Andrey-move.csv,37.5818694248,55.7048304871,7736-1010,100-101,25002,0.170621698624,-101,-101.0,1,2,0.97358236856,1.0,byCorr,1.0
10308,59870,1,1020,,7736,250,2,ServiceLog,2G,EDGE,-1,-67.0,1435903829957,vlad,1435903861,0.177050793015,100,101,828403345.0,101-100-201507030909-vlad-move.csv,37.5752015314,55.6903943061,7736-1020,101-100,25002,0.130214182693,-85,-67.0,2,2,0.700736766438,1.0,byCorr,1.0
10424,60424,1,1020,,7736,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435915737742,Andrey,1435915698,0.191805025766,100,101,244724959.0,101-100-201507031228-Andrey-move.csv,37.5759169173,55.6923078212,7736-1020,101-100,25002,0.221412581538,-105,-105.0,2,2,0.993703000365,1.0,byCorr,1.0
14943,89774,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435909507574,Andrey,1435909460,0.332360585672,219,151,77603657.0,151-219-201507031044-Andrey-move.csv,37.6519684665,55.7612605998,7763-160,151-219,25002,0.335345753179,-103,-103.0,5,2,0.982302114259,1.0,byCorr,1.0
15611,90730,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-93.0,1435913229262,Anna,1435909946,0.233359560152,219,151,77603657.0,151-219-201507031146-Anna-move.csv,37.6535855216,55.7599055958,7763-160,151-219,25002,0.220967580583,-97,-93.0,5,2,0.904548412359,1.0,byCorr,1.0
15208,90039,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435910451036,Andrey,1435910406,0.318217582026,219,151,77603657.0,151-219-201507031100-Andrey-move.csv,37.6523666969,55.760948732,7763-160,151-219,25002,0.308439992408,-105,-103.469299528,5,2,0.976541202711,1.0,byCorr,1.0
15346,90177,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-97.0,1435910949709,Andrey,1435910902,0.325289083849,219,151,77603657.0,151-219-201507031108-Andrey-move.csv,37.652406868,55.7609172725,7763-160,151-219,25002,0.305725897879,-97,-97.0,5,2,0.9756445315,1.0,byCorr,1.0
15563,90532,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-71.0,1435912830825,Anna,1435909460,0.859789910807,219,151,77603657.0,151-219-201507031138-Anna-move.csv,37.6412095527,55.766917811,7763-640,151-219,25002,0.943582383635,-69,-71.0,5,2,0.968242712143,1.0,byCorr,1.0
15162,89993,1,640,2192.0,7763,250,2,Сретенский бульвар 2,2G,EDGE,-1,-75.0,1435910081119,Andrey,1435909946,0.978842544073,219,151,77603657.0,151-219-201507031052-Andrey-move.csv,37.6399304673,55.7670100847,7763-640,151-219,25002,0.994419129957,-75,-75.0,5,2,0.972442836703,1.0,byCorr,1.0
15831,90950,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-70.1602385694,1435913778713,Anna,1435910406,0.879786887129,219,151,77603657.0,151-219-201507031154-Anna-move.csv,37.6415599579,55.766891855,7763-640,151-219,25002,0.929649609629,-59,-68.7580444682,5,2,0.965316004996,1.0,byCorr,1.0
15976,91095,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-72.8509517188,1435914284469,Anna,1435910902,0.916065179964,219,151,77603657.0,151-219-201507031202-Anna-move.csv,37.6411676406,55.7669209156,7763-640,151-219,25002,0.945248887993,-63,-72.8509517188,5,2,0.961949048157,1.0,byCorr,1.0
17772,100805,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-81.0,1435909770612,Andrey,1435909691,0.560302901956,151,219,77603657.0,219-151-201507031048-Andrey-move.csv,37.6502917478,55.7623885887,7763-640,219-151,25002,0.553862033537,-81,-81.0,3,2,0.984914136762,1.0,byCorr,1.0
17921,100954,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-74.8745376447,1435910278849,Andrey,1435910194,0.588672669144,151,219,77603657.0,219-151-201507031056-Andrey-move.csv,37.6502787184,55.7623991231,7763-640,219-151,25002,0.552958788036,-81,-76.929030895,3,2,0.967839996152,1.0,byCorr,1.0
18067,101100,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-83.0,1435910742427,Andrey,1435910663,0.553210460159,151,219,77603657.0,219-151-201507031104-Andrey-move.csv,37.6506500902,55.762098864,7763-640,219-151,25002,0.578703683375,-81,-83.0,3,2,0.984995922117,1.0,byCorr,1.0
18307,101340,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-81.0,1435913072366,Anna,1435909691,0.868196902297,151,219,77603657.0,219-151-201507031142-Anna-move.csv,37.6556587513,55.7578512493,7763-160,219-151,25002,0.93754829718,-63,-76.3736081615,3,2,0.964579708905,1.0,byCorr,1.0
18528,101561,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-73.0225221485,1435913589162,Anna,1435910194,0.947481071764,151,219,77603657.0,219-151-201507031150-Anna-move.csv,37.6562130687,55.7573850537,7763-160,219-151,25002,0.977067846404,-69,-73.0225221485,3,2,0.927197153968,1.0,byCorr,1.0
18712,101745,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-75.0,1435914035269,Anna,1435910663,0.798710636102,151,219,77603657.0,219-151-201507031158-Anna-move.csv,37.65559782,55.7579121807,7763-160,219-151,25002,0.93262830616,-51,-75.0,3,2,0.946981635983,1.0,byCorr,1.0
