index,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,session_id,source_file,x,y,laccid,segment,netOperators,rawPower,NumRaces,NumUsers,coeffs,controls,method,maxCorrMinDelta
58071,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-99.0,1435904130909,vlad,1435904128,0.389221556886,99,100,828403345.0,100-099-201507030914-vlad-move.csv,37.598396519,55.7104926081,7736-1010,100-099,25002,-99.0,3,3,0.97632,1.0,byCorr,1.0
58071,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-99.0,1435904130909,vlad,1435904128,0.395209580838,99,100,828403345.0,100-099-201507030914-vlad-move.csv,37.598396519,55.7104926081,7736-1010,100-099,25002,-99.0,3,3,0.97632,1.0,byCorr,1.0
58071,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-99.0,1435904130909,vlad,1435904128,0.40119760479,99,100,828403345.0,100-099-201507030914-vlad-move.csv,37.598396519,55.7104926081,7736-1010,100-099,25002,-99.0,3,3,0.97632,1.0,byCorr,1.0
58071,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-99.0,1435904130909,vlad,1435904128,0.407185628743,99,100,828403345.0,100-099-201507030914-vlad-move.csv,37.598396519,55.7104926081,7736-1010,100-099,25002,-99.0,3,3,0.97632,1.0,byCorr,1.0
60429,1,1020,,7736,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435915742882,Andrey,1435915698,0.254777070064,100,101,244724959.0,101-100-201507031228-Andrey-move.csv,37.5761873916,55.6930312618,7736-1020,101-100,25002,-105.0,2,2,0.9874,1.0,byCorr,1.0
90738,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-104.329692926,1435913237598,Anna,1435909946,0.287769784173,219,151,77603657.0,151-219-201507031146-Anna-move.csv,37.6526292676,55.7607311376,7763-160,151-219,25002,-104.329692926,5,2,0.71707,1.0,byCorr,1.0
90041,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435910453072,Andrey,1435910406,0.323741007194,219,151,77603657.0,151-219-201507031100-Andrey-move.csv,37.652124822,55.7611381528,7763-160,151-219,25002,-107.0,5,2,0.96158,1.0,byCorr,1.0
90180,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-97.0,1435910952736,Andrey,1435910902,0.323741007194,219,151,77603657.0,151-219-201507031108-Andrey-move.csv,37.652067823,55.7611827906,7763-160,151-219,25002,-101.0,5,2,0.94634,1.0,byCorr,1.0
89990,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-53.8401057325,1435910078997,Andrey,1435909946,0.992805755396,219,151,77603657.0,151-219-201507031052-Andrey-move.csv,37.6399612585,55.7670079112,7763-640,151-219,25002,-72.4799526835,5,2,0.90139,1.0,byCorr,1.0
90948,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-57.2629855111,1435913777634,Anna,1435910406,0.920863309353,219,151,77603657.0,151-219-201507031154-Anna-move.csv,37.6416036536,55.7668886183,7763-640,151-219,25002,-57.2629855111,5,2,0.96659,1.0,byCorr,1.0
91094,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-59.0,1435914283448,Anna,1435910902,0.935251798561,219,151,77603657.0,151-219-201507031202-Anna-move.csv,37.6413485429,55.7669075154,7763-640,151-219,25002,-59.0,5,2,0.96804,1.0,byCorr,1.0
101487,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-83.0,1435913522341,Anna,1435910194,0.5,151,219,77603657.0,219-151-201507031150-Anna-move.csv,37.6496393883,55.7629333206,7763-640,219-151,25002,-77.0,3,2,0.92227,1.0,byCorr,1.0
101487,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-83.0,1435913522341,Anna,1435910194,0.506849315068,151,219,77603657.0,219-151-201507031150-Anna-move.csv,37.6496393883,55.7629333206,7763-640,219-151,25002,-77.0,3,2,0.92227,1.0,byCorr,1.0
101690,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-87.0,1435913986218,Anna,1435910663,0.527397260274,151,219,77603657.0,219-151-201507031158-Anna-move.csv,37.6499945404,55.7626288834,7763-640,219-151,25002,-88.7445381075,3,2,0.87168,1.0,byCorr,1.0
101559,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-65.0,1435913587070,Anna,1435910194,0.965753424658,151,219,77603657.0,219-151-201507031150-Anna-move.csv,37.6560695263,55.7574979737,7763-160,219-151,25002,-65.0,3,2,0.95101,1.0,byCorr,1.0
101750,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-59.0,1435914039452,Anna,1435910663,0.952054794521,151,219,77603657.0,219-151-201507031158-Anna-move.csv,37.6559189841,55.7576163998,7763-160,219-151,25002,-59.0,3,2,0.96763,1.0,byCorr,1.0
