,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,NumRaces,NumUsers,PSC,Power,TimeStamp,User,coeffs,controls,index,laccid,maxCorrMinDelta,method,netOperators,quality,race_id,ratio,rawPower,segment,segment_end_id,segment_start_id,session_id,source_file,x,y
58,,340,,7736,,,,2G,EDGE,7,,,-103.0,,,0.861114496569,1.0,,7736-340,1.0,byCorr,,-0.21,1435850918,0.206540447504,,098-099,99,98,,,,
7153,1,1000,,7736,250.0,2.0,ServiceLog,2G,EDGE,6,1.0,-1.0,-57.4214366144,1.43585041593e+12,Andrey,0.966269918602,1.0,51711.0,7736-1000,1.0,byCorr,25002.0,,1435850333,0.877551020408,-57.0,098-099,99,98,597905036.0,098-099-201507021818-Andrey-move.csv,37.6076779577,55.7208747028
50,,1000,,7736,,,,2G,EDGE,6,,,-66.0,,,0.965166485713,1.0,,7736-1000,1.0,byCorr,,-0.05,1435850611,0.913903061224,,098-099,99,98,,,,
40,,1000,,7736,,,,2G,EDGE,6,,,-70.0,,,0.945274970786,1.0,,7736-1000,1.0,byCorr,,-0.0,1435851203,0.989795918367,,098-099,99,98,,,,
8025,1,1000,,7736,250.0,2.0,ServiceLog,2G,EDGE,6,1.0,-1.0,-69.2776708931,1.43591806545e+12,Anna,0.781644595192,1.0,52931.0,7736-1000,1.0,byCorr,25002.0,,1435915183,0.938775510204,-67.5186016728,098-099,99,98,244724959.0,098-099-201507031306-Anna-move.csv,37.6077947147,55.7202305809
8088,1,1000,,7736,250.0,2.0,ServiceLog,2G,EDGE,6,1.0,-1.0,-67.0,1.4359191803e+12,Anna,0.888813026362,1.0,53055.0,7736-1000,1.0,byCorr,25002.0,,1435916299,0.928571428571,-67.0,098-099,99,98,244724959.0,098-099-201507031324-Anna-move.csv,37.6077822808,55.72030614
93,,1000,,7736,,,,2G,EDGE,5,,,-99.0,,,0.969594901875,1.0,,7736-1000,1.0,byCorr,,0.46,1435850455,0.311658266545,,099-098,98,99,,,,
71,,1000,,7736,,,,2G,EDGE,5,,,-94.0,,,0.935511408356,1.0,,7736-1000,1.0,byCorr,,-0.33,1435850763,0.367718303202,,099-098,98,99,,,,
91,,1000,,7736,,,,2G,EDGE,5,,,-98.0,,,0.961593400207,1.0,,7736-1000,1.0,byCorr,,0.43,1435851060,0.29010989011,,099-098,98,99,,,,
75,,1000,,7736,,,,2G,EDGE,5,,,-106.0,,,0.986636996608,1.0,,7736-1000,1.0,byCorr,,0.83,1435916076,0.380826070481,,099-098,98,99,,,,
8400,1,340,,7736,250.0,2.0,ServiceLog,2G,EDGE,5,1.0,-1.0,-55.0,1.43585083965e+12,Andrey,0.450891042901,1.0,53668.0,7736-340,1.0,byCorr,25002.0,,1435850763,0.868131868132,-55.0,099-098,98,99,597905036.0,099-098-201507021826-Andrey-move.csv,37.610107782,55.7289356252
55,,340,,7736,,,,2G,EDGE,5,,,-68.0,,,0.541510679834,1.0,,7736-340,1.0,byCorr,,0.65,1435851060,0.978021978022,,099-098,98,99,,,,
45,,340,,7736,,,,2G,EDGE,5,,,-67.0,,,0.424680642354,1.0,,7736-340,1.0,byCorr,,0.56,1435904316,0.989010989011,,099-098,98,99,,,,
9033,1,340,,7736,250.0,2.0,ServiceLog,2G,EDGE,5,1.0,-1.0,-61.3589378729,1.43591616157e+12,Andrey,0.539993008873,1.0,54616.0,7736-340,1.0,byCorr,25002.0,,1435916076,0.846153846154,-61.3589378729,099-098,98,99,244724959.0,099-098-201507031234-Andrey-move.csv,37.60970603,55.7287720369
26,,1010,,7736,,,,2G,EDGE,5,,,-71.0,,,0.962469304579,1.0,,7736-1010,1.0,byCorr,,0.8,1435915305,0.871499941908,,099-100,100,99,,,,
9525,1,1010,,7736,250.0,2.0,ServiceLog,2G,EDGE,5,1.0,-1.0,-65.0,1.43591657024e+12,Andrey,0.976086645326,1.0,56711.0,7736-1010,1.0,byCorr,25002.0,,1435916431,0.940397350993,-65.0,099-100,100,99,244724959.0,099-100-201507031240-Andrey-move.csv,37.587368465,55.7085034131
90,,1000,,7736,,,,2G,EDGE,3,,,-106.0,,,0.993623590421,1.0,,7736-1000,1.0,byCorr,,0.79,1435851320,0.271727998908,,099-100,100,99,,,,
89,,1000,,7736,,,,2G,EDGE,3,,,-107.0,,,0.993293665967,1.0,,7736-1000,1.0,byCorr,,0.92,1435915305,0.269611524544,,099-100,100,99,,,,
87,,1010,,7736,,,,2G,EDGE,3,,,-99.0,,,0.949253291867,1.0,,7736-1010,1.0,byCorr,,0.92,1435904128,0.241803865426,,100-099,99,100,,,,
112,,1010,,7736,,,,2G,EDGE,3,,,-104.0,,,0.96776925379,1.0,,7736-1010,1.0,byCorr,,0.93,1435915883,0.312634032634,,100-099,99,100,,,,
71,,1020,,7736,,,,2G,EDGE,2,,,-110.0,,,0.988761994043,1.0,,7736-1020,1.0,byCorr,,0.88,1435915698,0.203931623932,,101-100,100,101,,,,
78,,160,,7763,,,,2G,EDGE,5,,,-107.0,,,0.939277273209,1.0,,7763-160,1.0,byCorr,,0.72,1435909460,0.268718488976,,151-219,219,151,,,,
76,,160,,7763,,,,2G,EDGE,5,,,-102.0,,,0.957830897265,1.0,,7763-160,1.0,byCorr,,0.68,1435909946,0.279593779752,,151-219,219,151,,,,
73,,160,,7763,,,,2G,EDGE,5,,,-106.0,,,0.945499280354,1.0,,7763-160,1.0,byCorr,,0.74,1435910406,0.258180923481,,151-219,219,151,,,,
15018,1,640,,7763,250.0,2.0,ServiceLog,2G,EDGE,5,1.0,-1.0,-51.0,1.43590958336e+12,Andrey,0.966089973632,1.0,89849.0,7763-640,1.0,byCorr,25002.0,,1435909460,0.948905109489,-51.0,151-219,219,151,77603657.0,151-219-201507031044-Andrey-move.csv,37.6409158108,55.7669395696
130,,640,,7763,,,,2G,EDGE,5,,,-51.0,,,0.975218287147,1.0,,7763-640,1.0,byCorr,,0.73,1435909946,0.814384098313,,151-219,219,151,,,,
129,,640,,7763,,,,2G,EDGE,5,,,-56.0,,,0.949662843904,1.0,,7763-640,1.0,byCorr,,0.88,1435910406,0.795783550137,,151-219,219,151,,,,
117,,640,,7763,,,,2G,EDGE,5,,,-52.0,,,0.970025227956,1.0,,7763-640,1.0,byCorr,,0.89,1435910902,0.757770852128,,151-219,219,151,,,,
18242,1,640,,7763,250.0,2.0,ServiceLog,2G,EDGE,3,1.0,-1.0,-82.8368493443,1.43591301523e+12,Anna,0.934486147251,1.0,101275.0,7763-640,1.0,byCorr,25002.0,,1435909691,0.506944444444,-79.0,219-151,151,219,77603657.0,219-151-201507031142-Anna-move.csv,37.6496540933,55.7629200234
97,,640,,7763,,,,2G,EDGE,3,,,-61.0,,,0.919770619414,1.0,,7763-640,1.0,byCorr,,0.82,1435910663,0.32487745098,,219-151,151,219,,,,
155,,160,,7763,,,,2G,EDGE,3,,,-53.0,,,0.974203578948,1.0,,7763-160,1.0,byCorr,,0.97,1435910194,0.831900352734,,219-151,151,219,,,,
158,,160,,7763,,,,2G,EDGE,3,,,-52.0,,,0.950567013342,1.0,,7763-160,1.0,byCorr,,0.98,1435910663,0.876688152241,,219-151,151,219,,,,
