,index,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,session_id,source_file,x,y,laccid,segment,netOperators,time,rawPower,NumRaces,NumUsers,coeffs,controls,method,maxCorrMinDelta
3799,33223,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-95.0,1435914958716,Andrey,1435914913,0.500075645034,75,74,244724959.0,074-075-201507031215-Andrey-move.csv,37.6154347734,55.72831,7736-350,074-075,25002,45097,-95,3,2,0.920513134572,1.0,byCorr,1.0
3751,33175,1,341,,7736,250,2,ServiceLog,2G,EDGE,-1,-83.0,1435914337954,Andrey,1435914255,0.981211561898,75,74,244724959.0,074-075-201507031204-Andrey-move.csv,37.6094136756,55.7294835763,7736-341,074-075,25002,38413,-83,2,2,0.438493499794,1.0,byCorr,1.0
3994,33418,1,341,,7736,250,2,ServiceLog,2G,EDGE,-1,-75.0,1435917776089,Anna,1435914913,0.823976091613,75,74,244724959.0,074-075-201507031301-Anna-move.csv,37.6112335026,55.7288748523,7736-341,074-075,25002,21995,-75,2,2,0.927297770957,1.0,byCorr,1.0
4197,33886,1,341,,7736,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435908022534,Anna,1435904753,0.225492305116,74,75,828403345.0,075-074-201507031020-Anna-move.csv,37.6117320107,55.7285334357,7736-341,075-074,25002,19014,-95,2,3,0.978548146209,1.0,byCorr,1.0
4047,33736,1,341,,7736,250,2,ServiceLog,2G,EDGE,-1,-97.0,1435904720597,vlad,1435904753,0.467683598986,74,75,828403345.0,075-074-201507030924-vlad-move.csv,37.6149344305,55.7281152142,7736-341,075-074,25002,34016,-97,2,3,0.981474550695,1.0,byCorr,1.0
4286,33980,1,341,,7736,250,2,ServiceLog,2G,EDGE,-1,-89.0,1435914457708,Andrey,1435914434,0.279719255267,74,75,244724959.0,075-074-201507031207-Andrey-move.csv,37.612420325,55.7283804857,7736-341,075-074,25002,22779,-89,2,2,0.905276407913,1.0,byCorr,1.0
4254,33943,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-57.0,1435908066260,Anna,1435904753,0.93638464345,74,75,828403345.0,075-074-201507031020-Anna-move.csv,37.6212979627,55.7284688061,7736-350,075-074,25002,62740,-57,2,2,0.975180393898,1.0,byCorr,1.0
4434,34128,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-59.0,1435917292541,Anna,1435914434,0.958019800416,74,75,244724959.0,075-074-201507031253-Anna-move.csv,37.6215911358,55.7284896178,7736-350,075-074,25002,65378,-59,2,2,0.964064058057,1.0,byCorr,1.0
7285,51843,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435850652042,Andrey,1435850611,0.395843854683,99,98,597905036.0,098-099-201507021823-Andrey-move.csv,37.6072616202,55.7265750017,7736-340,098-099,25002,40955,-103,7,3,0.969747891675,1.0,byCorr,1.0
7398,51979,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-99.0,1435850946460,Andrey,1435850918,0.239864569493,99,98,597905036.0,098-099-201507021828-Andrey-move.csv,37.6079930482,55.7283154945,7736-340,098-099,25002,28093,-99,7,3,0.770385566088,1.0,byCorr,1.0
7345,51926,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-85.0,1435850878738,vlad,1435850918,0.19702763318,99,98,597905036.0,098-099-201507021827-vlad-move.csv,37.6086433872,55.7286396301,7736-340,098-099,25002,24169,-85,7,3,0.826837674373,1.0,byCorr,1.0
7541,52150,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-97.0,1435851233916,Andrey,1435851203,0.282524416649,99,98,597905036.0,098-099-201507021833-Andrey-move.csv,37.6075617612,55.7278807761,7736-340,098-099,25002,30295,-97,7,3,0.964646984157,1.0,byCorr,1.0
7481,52090,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-93.0,1435851177960,vlad,1435851203,0.375985447055,99,98,597905036.0,098-099-201507021832-vlad-move.csv,37.6072648358,55.7268071602,7736-340,098-099,25002,38844,-93,7,3,0.967500278195,1.0,byCorr,1.0
7849,52688,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435915221473,Andrey,1435915183,0.363219190446,99,98,244724959.0,098-099-201507031219-Andrey-move.csv,37.607266903,55.7269564059,7736-340,098-099,25002,37572,-103,7,2,0.850280818155,1.0,byCorr,1.0
7931,52788,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435916338384,Andrey,1435916299,0.374513417977,99,98,244724959.0,098-099-201507031238-Andrey-move.csv,37.6072650742,55.7268243692,7736-340,098-099,25002,38791,-105,7,2,0.941852714897,1.0,byCorr,1.0
7621,52265,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-75.0,1435853679709,Anna,1435850333,0.982540442485,99,98,597905036.0,098-099-201507021913-Anna-move.csv,37.6078765481,55.7197332861,7736-1000,098-099,25002,36165,-71,6,2,0.663021670897,1.0,byCorr,1.0
