,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,session_id,source_file,x,y,laccid,segment,netOperators,rawPower,NumRaces,NumUsers,coeffs,controls,method,maxCorrMinDelta
27256,1,275,,7763,250,2,ServiceLog,2G,EDGE,-1,-99.0,1435843509306,Andrey,1435843480,0.19298245614,68,69,449805108.0,069-068-201507021624-Andrey-move.csv,37.6270514655,55.7800340427,7763-275,069-068,25002,-99.0,2,2,0.96945,1.0,byCorr,1.0
32131,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-71.0,1435917663773,Anna,1435914799,0.886075949367,74,73,244724959.0,073-074-201507031259-Anna-move.csv,37.6238789649,55.7288405722,7736-350,073-074,25002,-71.0,3,2,0.94958,1.0,byCorr,1.0
31853,1,370,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435914838736,Andrey,1435914799,0.443037974684,74,73,244724959.0,073-074-201507031213-Andrey-move.csv,37.6311746809,55.7296431718,7736-370,073-074,25002,-103.0,2,2,0.87041,1.0,byCorr,1.0
33226,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-94.988348666,1435914961882,Andrey,1435914913,0.535714285714,75,74,244724959.0,074-075-201507031215-Andrey-move.csv,37.6148927061,55.7283159693,7736-350,074-075,25002,-99.0,3,2,0.94049,1.0,byCorr,1.0
33423,1,341,,7736,250,2,ServiceLog,2G,EDGE,-1,-75.0,1435917781295,Anna,1435914913,0.880952380952,75,74,244724959.0,074-075-201507031301-Anna-move.csv,37.61044565,55.7291144758,7736-341,074-075,25002,-73.9483039896,2,2,0.88179,1.0,byCorr,1.0
33900,1,341,,7736,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435908029903,Anna,1435904753,0.333333333333,74,75,828403345.0,075-074-201507031020-Anna-move.csv,37.6133470742,55.728237484,7736-341,075-074,25002,-105.0,2,3,0.86297,1.0,byCorr,1.0
33900,1,341,,7736,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435908029903,Anna,1435904753,0.347222222222,74,75,828403345.0,075-074-201507031020-Anna-move.csv,37.6133470742,55.728237484,7736-341,075-074,25002,-105.0,2,3,0.86297,1.0,byCorr,1.0
33730,1,341,,7736,250,2,ServiceLog,2G,EDGE,-1,-95.0,1435904714429,vlad,1435904753,0.347222222222,74,75,828403345.0,075-074-201507030924-vlad-move.csv,37.6135231711,55.7282157734,7736-341,075-074,25002,-95.0,2,3,0.96546,1.0,byCorr,1.0
33730,1,341,,7736,250,2,ServiceLog,2G,EDGE,-1,-95.0,1435904714429,vlad,1435904753,0.361111111111,74,75,828403345.0,075-074-201507030924-vlad-move.csv,37.6135231711,55.7282157734,7736-341,075-074,25002,-95.0,2,3,0.96546,1.0,byCorr,1.0
33935,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-69.0,1435908059029,Anna,1435904753,0.833333333333,74,75,828403345.0,075-074-201507031020-Anna-move.csv,37.6200330211,55.7283790109,7736-350,075-074,25002,-69.0,2,2,0.98112,1.0,byCorr,1.0
42319,1,720,,7763,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435840300676,Andrey,1435840251,0.241573033708,89,90,461992391.0,090-089-201507021530-Andrey-move.csv,37.6401856564,55.8269934525,7763-720,090-089,25002,-101.0,1,2,0.96787,1.0,byCorr,1.0
43272,1,720,,7763,250,2,ServiceLog,2G,EDGE,-1,-109.0,1435845370161,Anna,1435842085,0.363636363636,91,90,449805108.0,090-091-201507021655-Anna-move.csv,37.6411712269,55.8163637723,7763-720,090-091,25002,-109.0,1,2,0.83245,1.0,byCorr,1.0
43272,1,720,,7763,250,2,ServiceLog,2G,EDGE,-1,-109.0,1435845370161,Anna,1435842085,0.373737373737,91,90,449805108.0,090-091-201507021655-Anna-move.csv,37.6411712269,55.8163637723,7763-720,090-091,25002,-109.0,1,2,0.83245,1.0,byCorr,1.0
43854,1,1270,,7763,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435840185000,Andrey,1435840107,0.673076923077,90,91,461992391.0,091-090-201507021528-Andrey-move.csv,37.6416456403,55.8170419319,7763-1270,091-090,25002,-101.0,1,2,0.97263,1.0,byCorr,1.0
44989,1,1270,,7763,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435842267879,Andrey,1435842209,0.487603305785,92,91,449805108.0,091-092-201507021603-Andrey-move.csv,37.6374383095,55.8010154821,7763-1270,091-092,25002,-105.0,1,2,0.99253,1.0,byCorr,1.0
44989,1,1270,,7763,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435842267879,Andrey,1435842209,0.495867768595,92,91,449805108.0,091-092-201507021603-Andrey-move.csv,37.6374383095,55.8010154821,7763-1270,091-092,25002,-105.0,1,2,0.99253,1.0,byCorr,1.0
45024,1,1280,,7763,250,2,ServiceLog,2G,EDGE,-1,-81.0,1435842304385,Andrey,1435842209,0.826446280992,92,91,449805108.0,091-092-201507021603-Andrey-move.csv,37.6365818598,55.7958655551,7763-1280,091-092,25002,-81.0,1,2,0.55855,1.0,byCorr,1.0
45024,1,1280,,7763,250,2,ServiceLog,2G,EDGE,-1,-81.0,1435842304385,Andrey,1435842209,0.834710743802,92,91,449805108.0,091-092-201507021603-Andrey-move.csv,37.6365818598,55.7958655551,7763-1280,091-092,25002,-81.0,1,2,0.55855,1.0,byCorr,1.0
46274,1,1280,,7763,250,2,ServiceLog,2G,EDGE,-1,-107.0,1435842397276,Andrey,1435842348,0.403361344538,93,92,449805108.0,092-093-201507021605-Andrey-move.csv,37.6340532872,55.7883901479,7763-1280,092-093,25002,-107.0,1,2,0.9808,1.0,byCorr,1.0
46986,1,1280,,7763,250,2,ServiceLog,2G,EDGE,-1,-79.0,1435843163299,Anna,1435839819,0.88785046729,92,93,461992391.0,093-092-201507021617-Anna-move.csv,37.6362174425,55.7920576958,7763-1280,093-092,25002,-79.0,2,2,0.51709,1.0,byCorr,1.0
46986,1,1280,,7763,250,2,ServiceLog,2G,EDGE,-1,-79.0,1435843163299,Anna,1435839819,0.897196261682,92,93,461992391.0,093-092-201507021617-Anna-move.csv,37.6362174425,55.7920576958,7763-1280,093-092,25002,-79.0,2,2,0.51709,1.0,byCorr,1.0
51844,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435850653107,Andrey,1435850611,0.4,99,98,597905036.0,098-099-201507021823-Andrey-move.csv,37.6072596415,55.7264321412,7736-340,098-099,25002,-103.0,6,3,0.9477,1.0,byCorr,1.0
51987,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-99.0,1435850954643,Andrey,1435850918,0.33,99,98,597905036.0,098-099-201507021828-Andrey-move.csv,37.6073233475,55.7273104055,7736-340,098-099,25002,-99.0,6,3,0.77915,1.0,byCorr,1.0
51939,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-95.0,1435850892069,vlad,1435850918,0.34,99,98,597905036.0,098-099-201507021827-vlad-move.csv,37.6072690942,55.7271146023,7736-340,098-099,25002,-95.0,6,3,0.804,1.0,byCorr,1.0
52165,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435851249211,Andrey,1435851203,0.45,99,98,597905036.0,098-099-201507021833-Andrey-move.csv,37.6072511089,55.7258161043,7736-340,098-099,25002,-103.0,6,3,0.97491,1.0,byCorr,1.0
52165,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435851249211,Andrey,1435851203,0.46,99,98,597905036.0,098-099-201507021833-Andrey-move.csv,37.6072511089,55.7258161043,7736-340,098-099,25002,-103.0,6,3,0.97491,1.0,byCorr,1.0
52094,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-93.0,1435851184133,vlad,1435851203,0.42,99,98,597905036.0,098-099-201507021832-vlad-move.csv,37.6072532588,55.7259713258,7736-340,098-099,25002,-93.0,6,3,0.97707,1.0,byCorr,1.0
52094,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-93.0,1435851184133,vlad,1435851203,0.43,99,98,597905036.0,098-099-201507021832-vlad-move.csv,37.6072532588,55.7259713258,7736-340,098-099,25002,-93.0,6,3,0.97707,1.0,byCorr,1.0
52094,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-93.0,1435851184133,vlad,1435851203,0.44,99,98,597905036.0,098-099-201507021832-vlad-move.csv,37.6072532588,55.7259713258,7736-340,098-099,25002,-93.0,6,3,0.97707,1.0,byCorr,1.0
52691,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435915224621,Andrey,1435915183,0.39,99,98,244724959.0,098-099-201507031219-Andrey-move.csv,37.6072610646,55.7265348911,7736-340,098-099,25002,-103.0,6,2,0.8824,1.0,byCorr,1.0
52789,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435916339419,Andrey,1435916299,0.38,99,98,244724959.0,098-099-201507031238-Andrey-move.csv,37.607263165,55.7266865342,7736-340,098-099,25002,-105.0,6,2,0.92866,1.0,byCorr,1.0
52213,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-67.0,1435851297979,Andrey,1435851203,0.99,99,98,597905036.0,098-099-201507021833-Andrey-move.csv,37.6078962146,55.7196137737,7736-1000,098-099,25002,-67.0,6,3,0.95199,1.0,byCorr,1.0
53471,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-95.0,1435850500827,Andrey,1435850455,0.462365591398,98,99,597905036.0,099-098-201507021820-Andrey-move.csv,37.6076268533,55.724899385,7736-1000,099-098,25002,-95.0,5,3,0.97981,1.0,byCorr,1.0
53390,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-89.0,1435850437601,vlad,1435850455,0.47311827957,98,99,597905036.0,099-098-201507021819-vlad-move.csv,37.6076306471,55.7250352066,7736-1000,099-098,25002,-89.0,5,3,0.9781,1.0,byCorr,1.0
53639,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-95.0,1435850809959,Andrey,1435850763,0.494623655914,98,99,597905036.0,099-098-201507021826-Andrey-move.csv,37.6076387142,55.7253240085,7736-1000,099-098,25002,-95.0,5,2,0.94742,1.0,byCorr,1.0
53639,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-95.0,1435850809959,Andrey,1435850763,0.505376344086,98,99,597905036.0,099-098-201507021826-Andrey-move.csv,37.6076387142,55.7253240085,7736-1000,099-098,25002,-95.0,5,2,0.94742,1.0,byCorr,1.0
53817,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435851107508,Andrey,1435851060,0.505376344086,98,99,597905036.0,099-098-201507021831-Andrey-move.csv,37.6076408762,55.7254014077,7736-1000,099-098,25002,-101.0,5,3,0.98633,1.0,byCorr,1.0
53732,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-89.0,1435851042244,vlad,1435851060,0.483870967742,98,99,597905036.0,099-098-201507021829-vlad-move.csv,37.6076345115,55.7251735509,7736-1000,099-098,25002,-89.0,5,3,0.96494,1.0,byCorr,1.0
54335,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-97.0,1435904362118,Andrey,1435904316,0.505376344086,98,99,828403345.0,099-098-201507030918-Andrey-move.csv,37.6076419108,55.7254384485,7736-1000,099-098,25002,-97.0,5,3,0.96551,1.0,byCorr,1.0
54258,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-93.0,1435904297587,vlad,1435904316,0.505376344086,98,99,828403345.0,099-098-201507030917-vlad-move.csv,37.6076511053,55.7257676072,7736-1000,099-098,25002,-93.0,5,3,0.96854,1.0,byCorr,1.0
54258,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-93.0,1435904297587,vlad,1435904316,0.516129032258,98,99,828403345.0,099-098-201507030917-vlad-move.csv,37.6076511053,55.7257676072,7736-1000,099-098,25002,-93.0,5,3,0.96854,1.0,byCorr,1.0
54258,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-93.0,1435904297587,vlad,1435904316,0.52688172043,98,99,828403345.0,099-098-201507030917-vlad-move.csv,37.6076511053,55.7257676072,7736-1000,099-098,25002,-93.0,5,3,0.96854,1.0,byCorr,1.0
54258,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-93.0,1435904297587,vlad,1435904316,0.537634408602,98,99,828403345.0,099-098-201507030917-vlad-move.csv,37.6076511053,55.7257676072,7736-1000,099-098,25002,-93.0,5,3,0.96854,1.0,byCorr,1.0
54584,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435916128536,Andrey,1435916076,0.483870967742,98,99,244724959.0,099-098-201507031234-Andrey-move.csv,37.6076346491,55.7251784766,7736-1000,099-098,25002,-101.0,5,2,0.98663,1.0,byCorr,1.0
53860,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-68.6314843504,1435851151162,Andrey,1435851060,0.989247311828,98,99,597905036.0,099-098-201507021831-Andrey-move.csv,37.611832004,55.7298033031,7736-340,099-098,25002,-68.6314843504,5,3,0.88352,1.0,byCorr,1.0
54371,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-63.4538288018,1435904398026,Andrey,1435904316,0.967741935484,98,99,828403345.0,099-098-201507030918-Andrey-move.csv,37.6115373712,55.7296117921,7736-340,099-098,25002,-68.5855688298,5,3,0.90306,1.0,byCorr,1.0
56572,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-65.0,1435915455193,Andrey,1435915305,0.986928104575,100,99,244724959.0,099-100-201507031221-Andrey-move.csv,37.5862900417,55.7078871691,7736-1010,099-100,25002,-70.8570873598,5,2,0.99274,1.0,byCorr,1.0
56099,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-91.0,1435851308201,vlad,1435851320,0.313725490196,100,99,597905036.0,099-100-201507021834-vlad-move.csv,37.6044378658,55.7138733146,7736-1000,099-100,25002,-91.0,3,2,0.98791,1.0,byCorr,1.0
56099,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-91.0,1435851308201,vlad,1435851320,0.320261437908,100,99,597905036.0,099-100-201507021834-vlad-move.csv,37.6044378658,55.7138733146,7736-1000,099-100,25002,-91.0,3,2,0.98791,1.0,byCorr,1.0
56099,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-91.0,1435851308201,vlad,1435851320,0.326797385621,100,99,597905036.0,099-100-201507021834-vlad-move.csv,37.6044378658,55.7138733146,7736-1000,099-100,25002,-91.0,3,2,0.98791,1.0,byCorr,1.0
56099,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-91.0,1435851308201,vlad,1435851320,0.333333333333,100,99,597905036.0,099-100-201507021834-vlad-move.csv,37.6044378658,55.7138733146,7736-1000,099-100,25002,-91.0,3,2,0.98791,1.0,byCorr,1.0
56099,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-91.0,1435851308201,vlad,1435851320,0.339869281046,100,99,597905036.0,099-100-201507021834-vlad-move.csv,37.6044378658,55.7138733146,7736-1000,099-100,25002,-91.0,3,2,0.98791,1.0,byCorr,1.0
56476,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435915357124,Andrey,1435915305,0.326797385621,100,99,244724959.0,099-100-201507031221-Andrey-move.csv,37.6047063912,55.7140164214,7736-1000,099-100,25002,-105.0,3,2,0.96446,1.0,byCorr,1.0
56624,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435916480616,Andrey,1435916431,0.300653594771,100,99,244724959.0,099-100-201507031240-Andrey-move.csv,37.6053211055,55.7143440225,7736-1000,099-100,25002,-101.0,3,2,0.98283,1.0,byCorr,1.0
58156,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435904197407,Andrey,1435904128,0.395209580838,99,100,828403345.0,100-099-201507030915-Andrey-move.csv,37.5981303859,55.7103861551,7736-1010,100-099,25002,-105.0,3,3,0.98529,1.0,byCorr,1.0
58071,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-99.0,1435904130909,vlad,1435904128,0.383233532934,99,100,828403345.0,100-099-201507030914-vlad-move.csv,37.598396519,55.7104926081,7736-1010,100-099,25002,-99.0,3,3,0.97632,1.0,byCorr,1.0
58071,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-99.0,1435904130909,vlad,1435904128,0.389221556886,99,100,828403345.0,100-099-201507030914-vlad-move.csv,37.598396519,55.7104926081,7736-1010,100-099,25002,-99.0,3,3,0.97632,1.0,byCorr,1.0
58071,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-99.0,1435904130909,vlad,1435904128,0.395209580838,99,100,828403345.0,100-099-201507030914-vlad-move.csv,37.598396519,55.7104926081,7736-1010,100-099,25002,-99.0,3,3,0.97632,1.0,byCorr,1.0
58071,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-99.0,1435904130909,vlad,1435904128,0.40119760479,99,100,828403345.0,100-099-201507030914-vlad-move.csv,37.598396519,55.7104926081,7736-1010,100-099,25002,-99.0,3,3,0.97632,1.0,byCorr,1.0
58071,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-99.0,1435904130909,vlad,1435904128,0.407185628743,99,100,828403345.0,100-099-201507030914-vlad-move.csv,37.598396519,55.7104926081,7736-1010,100-099,25002,-99.0,3,3,0.97632,1.0,byCorr,1.0
59873,1,1020,,7736,250,2,ServiceLog,2G,EDGE,-1,-85.0,1435903833025,vlad,1435903861,0.140127388535,100,101,828403345.0,101-100-201507030909-vlad-move.csv,37.5753083449,55.690680017,7736-1020,101-100,25002,-85.0,2,2,0.98557,1.0,byCorr,1.0
60429,1,1020,,7736,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435915742882,Andrey,1435915698,0.254777070064,100,101,244724959.0,101-100-201507031228-Andrey-move.csv,37.5761873916,55.6930312618,7736-1020,101-100,25002,-105.0,2,2,0.9874,1.0,byCorr,1.0
76056,1,950,,7741,250,2,ServiceLog,2G,EDGE,-1,-91.0,1435844922519,vlad,1435844936,0.282051282051,130,131,449805108.0,131-130-201507021647-vlad-move.csv,37.6108911007,55.86947511,7741-950,131-130,25002,-91.0,1,2,0.98294,1.0,byCorr,1.0
76056,1,950,,7741,250,2,ServiceLog,2G,EDGE,-1,-91.0,1435844922519,vlad,1435844936,0.288461538462,130,131,449805108.0,131-130-201507021647-vlad-move.csv,37.6108911007,55.86947511,7741-950,131-130,25002,-91.0,1,2,0.98294,1.0,byCorr,1.0
76056,1,950,,7741,250,2,ServiceLog,2G,EDGE,-1,-91.0,1435844922519,vlad,1435844936,0.294871794872,130,131,449805108.0,131-130-201507021647-vlad-move.csv,37.6108911007,55.86947511,7741-950,131-130,25002,-91.0,1,2,0.98294,1.0,byCorr,1.0
76056,1,950,,7741,250,2,ServiceLog,2G,EDGE,-1,-91.0,1435844922519,vlad,1435844936,0.301282051282,130,131,449805108.0,131-130-201507021647-vlad-move.csv,37.6108911007,55.86947511,7741-950,131-130,25002,-91.0,1,2,0.98294,1.0,byCorr,1.0
76056,1,950,,7741,250,2,ServiceLog,2G,EDGE,-1,-91.0,1435844922519,vlad,1435844936,0.307692307692,130,131,449805108.0,131-130-201507021647-vlad-move.csv,37.6108911007,55.86947511,7741-950,131-130,25002,-91.0,1,2,0.98294,1.0,byCorr,1.0
76852,1,1230,,7737,250,2,ServiceLog,2G,EDGE,-1,-89.0,1435844701231,vlad,1435844728,0.190751445087,131,132,449805108.0,132-131-201507021644-vlad-move.csv,37.5919636304,55.8505109817,7737-1230,132-131,25002,-89.0,1,2,0.9426,1.0,byCorr,1.0
77878,1,830,,7788,250,2,ServiceLog,2G,EDGE,-1,-99.0,1435844584532,vlad,1435844567,0.607407407407,132,133,449805108.0,133-132-201507021641-vlad-move.csv,37.5847509723,55.8419818197,7788-830,133-132,25002,-99.0,1,2,0.84878,1.0,byCorr,1.0
77878,1,830,,7788,250,2,ServiceLog,2G,EDGE,-1,-99.0,1435844584532,vlad,1435844567,0.614814814815,132,133,449805108.0,133-132-201507021641-vlad-move.csv,37.5847509723,55.8419818197,7788-830,133-132,25002,-99.0,1,2,0.84878,1.0,byCorr,1.0
78745,1,800,,7788,250,2,ServiceLog,2G,EDGE,-1,-107.0,1435844429242,Andrey,1435844370,0.380952380952,133,134,449805108.0,134-133-201507021639-Andrey-move.csv,37.5735265126,55.8244676096,7788-800,134-133,25002,-107.0,1,2,0.79699,1.0,byCorr,1.0
78798,1,830,,7788,250,2,ServiceLog,2G,EDGE,-1,-95.0,1435844484846,Andrey,1435844370,0.795918367347,133,134,449805108.0,134-133-201507021639-Andrey-move.csv,37.5727166898,55.8313234145,7788-830,134-133,25002,-95.0,1,2,0.7529,1.0,byCorr,1.0
79719,1,840,,7788,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435846289625,Andrey,1435846227,0.5375,136,135,449805108.0,135-136-201507021710-Andrey-move.csv,37.5850045195,55.7995237768,7788-840,135-136,25002,-105.0,1,2,0.76347,1.0,byCorr,1.0
83626,1,360,,7736,250,2,ServiceLog,2G,EDGE,-1,-107.0,1435905075385,Andrey,1435905026,0.292993630573,143,142,828403345.0,142-143-201507030930-Andrey-move.csv,37.6276,55.7216547078,7736-360,142-143,25002,-107.0,1,2,0.96172,1.0,byCorr,1.0
84724,1,1090,,7755,250,2,ServiceLog,2G,EDGE,-1,-99.0,1435905256182,Andrey,1435905201,0.22966507177,144,143,828403345.0,143-144-201507030933-Andrey-move.csv,37.6214902097,55.70261238,7755-1090,143-144,25002,-99.0,1,3,0.97502,1.0,byCorr,1.0
84983,1,1090,,7755,250,2,ServiceLog,2G,EDGE,-1,-111.962761489,1435908504425,Anna,1435905201,0.224880382775,144,143,828403345.0,143-144-201507031027-Anna-move.csv,37.6216184554,55.7027079274,7755-1090,143-144,25002,-113.0,1,3,0.92107,1.0,byCorr,1.0
85914,1,790,,7755,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435905491933,Andrey,1435905435,0.509259259259,145,144,828403345.0,144-145-201507030937-Andrey-move.csv,37.6158313259,55.67764138,7755-790,144-145,25002,-105.0,1,3,0.99417,1.0,byCorr,1.0
85846,1,790,,7755,250,2,ServiceLog,2G,EDGE,-1,-84.3319853165,1435905421757,vlad,1435905435,0.472222222222,145,144,828403345.0,144-145-201507030936-vlad-move.csv,37.6163847696,55.6780200178,7755-790,144-145,25002,-84.3319853165,1,3,0.93309,1.0,byCorr,1.0
86583,1,1100,,7755,250,2,ServiceLog,2G,EDGE,-1,-93.0,1435905554789,vlad,1435905572,0.547619047619,146,145,828403345.0,145-146-201507030938-vlad-move.csv,37.6091553534,55.6663517131,7755-1100,145-146,25002,-93.0,1,2,0.93872,1.0,byCorr,1.0
86583,1,1100,,7755,250,2,ServiceLog,2G,EDGE,-1,-93.0,1435905554789,vlad,1435905572,0.559523809524,146,145,828403345.0,145-146-201507030938-vlad-move.csv,37.6091553534,55.6663517131,7755-1100,145-146,25002,-93.0,1,2,0.93872,1.0,byCorr,1.0
86583,1,1100,,7755,250,2,ServiceLog,2G,EDGE,-1,-93.0,1435905554789,vlad,1435905572,0.571428571429,146,145,828403345.0,145-146-201507030938-vlad-move.csv,37.6091553534,55.6663517131,7755-1100,145-146,25002,-93.0,1,2,0.93872,1.0,byCorr,1.0
86583,1,1100,,7755,250,2,ServiceLog,2G,EDGE,-1,-93.0,1435905554789,vlad,1435905572,0.583333333333,146,145,828403345.0,145-146-201507030938-vlad-move.csv,37.6091553534,55.6663517131,7755-1100,145-146,25002,-93.0,1,2,0.93872,1.0,byCorr,1.0
87308,1,1110,,7755,250,2,ServiceLog,2G,EDGE,-1,-93.0,1435905668717,vlad,1435905680,0.593406593407,147,146,828403345.0,146-147-201507030940-vlad-move.csv,37.5986544336,55.6567602647,7755-1110,146-147,25002,-93.0,1,2,0.96949,1.0,byCorr,1.0
87308,1,1110,,7755,250,2,ServiceLog,2G,EDGE,-1,-93.0,1435905668717,vlad,1435905680,0.604395604396,147,146,828403345.0,146-147-201507030940-vlad-move.csv,37.5986544336,55.6567602647,7755-1110,146-147,25002,-93.0,1,2,0.96949,1.0,byCorr,1.0
90738,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-104.329692926,1435913237598,Anna,1435909946,0.287769784173,219,151,77603657.0,151-219-201507031146-Anna-move.csv,37.6526292676,55.7607311376,7763-160,151-219,25002,-104.329692926,5,2,0.71707,1.0,byCorr,1.0
90041,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435910453072,Andrey,1435910406,0.323741007194,219,151,77603657.0,151-219-201507031100-Andrey-move.csv,37.652124822,55.7611381528,7763-160,151-219,25002,-107.0,5,2,0.96158,1.0,byCorr,1.0
