Accel_X,Accel_Y,Accel_Z,Azimuth,GPS_Accuracy,GPS_Alt,GPS_Bearing,GPS_Lat,GPS_Lon,GPS_Speed,Gyro_X,Gyro_Y,Gyro_Z,ID,Magnetic,Name,Pitch,Roll,TimeStamp,Type,User,race_id,session_id
4.440233,-7.082581,-5.243834,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842316102,Raw,vlad,1435842348,449805108
4.3585114,-6.701211,-5.09401,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842317132,Raw,vlad,1435842348,449805108
4.971427,-7.3549876,-5.7750273,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842318163,Raw,vlad,1435842348,449805108
4.671779,-7.000859,-5.053149,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842319192,Raw,vlad,1435842348,449805108
4.4810944,-6.238119,-4.69902,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842320207,Raw,vlad,1435842348,449805108
4.780742,-7.000859,-5.434519,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842321237,Raw,vlad,1435842348,449805108
4.930566,-6.932757,-5.3527966,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842322268,Raw,vlad,1435842348,449805108
4.903325,-6.619489,-5.202973,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842323304,Raw,vlad,1435842348,449805108
5.434519,-7.273266,-4.3585114,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842324338,Raw,vlad,1435842348,449805108
6.006573,-7.1234417,-3.7455957,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842325371,Raw,vlad,1435842348,449805108
5.706926,-6.578628,-3.445948,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842326411,Raw,vlad,1435842348,449805108
5.47538,-6.619489,-3.8681788,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842327449,Raw,vlad,1435842348,449805108
6.197258,-7.3549876,-4.3176503,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842328483,Raw,vlad,1435842348,449805108
6.1563973,-7.4230895,-3.9771416,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842329514,Raw,vlad,1435842348,449805108
6.1563973,-2.8330324,-3.9362805,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842330549,Raw,vlad,1435842348,449805108
9.220976,-1.0215261,-5.1621118,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842331579,Raw,vlad,1435842348,449805108
7.3549876,3.405087,-8.267551,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842332610,Raw,vlad,1435842348,449805108
4.508335,-1.8387469,-8.60806,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842333639,Raw,vlad,1435842348,449805108
5.012288,-0.6401563,-8.076866,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842334675,Raw,vlad,1435842348,449805108
3.7864566,0.0,-9.071152,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842335690,Raw,vlad,1435842348,449805108
4.69902,0.19068487,-8.308413,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842336710,Raw,vlad,1435842348,449805108
4.4810944,0.19068487,-8.689782,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842337728,Raw,vlad,1435842348,449805108
