ID,Name,User,TimeStamp,Type,X,Y,Z,race_id
,ServiceLog,bishop,1417416456741,Raw,0.49876282,1.6866925,9.6178,1417416347
,ServiceLog,bishop,1417416457793,Raw,-0.53588563,0.84364563,10.384206,1417416347
,ServiceLog,bishop,1417416458810,Raw,-0.34428406,0.49876282,9.847721,1417416347
,ServiceLog,bishop,1417416459843,Raw,-0.38260436,0.767005,9.73276,1417416347
,ServiceLog,bishop,1417416460875,Raw,-0.4975653,0.88196594,10.192604,1417416347
,ServiceLog,bishop,1417416461905,Raw,-0.4975653,0.88196594,10.1542845,1417416347
,ServiceLog,bishop,1417416462938,Raw,-0.38260436,0.8053253,10.345885,1417416347
,ServiceLog,bishop,1417416463968,Raw,-0.4975653,1.1885284,10.1542845,1417416347
,ServiceLog,bishop,1417416464997,Raw,-0.57420594,1.4567707,10.460847,1417416347
,ServiceLog,bishop,1417416466013,Raw,-0.7658075,1.1885284,10.920691,1417416347
,ServiceLog,bishop,1417416467038,Raw,0.19220032,1.3418097,9.924362,1417416347
,ServiceLog,bishop,1417416468084,Raw,-0.9957294,1.4567707,9.924362,1417416347
,ServiceLog,bishop,1417416469112,Raw,-0.68916684,1.1885284,10.460847,1417416347
,ServiceLog,bishop,1417416470147,Raw,0.07723938,1.1118878,10.805729,1417416347
,ServiceLog,bishop,1417416471169,Raw,1.6100519,3.5643878,10.805729,1417416347
,ServiceLog,bishop,1417416472199,Raw,-0.7274872,1.3418097,9.387877,1417416347
,ServiceLog,bishop,1417416473215,Raw,-0.459245,1.4567707,9.272917,1417416347
,ServiceLog,bishop,1417416474231,Raw,-0.65084654,1.1502081,10.269245,1417416347
,ServiceLog,bishop,1417416475250,Raw,-0.11436218,1.495091,10.230925,1417416347
,ServiceLog,bishop,1417416476265,Raw,-0.68916684,1.3034893,10.192604,1417416347
,ServiceLog,bishop,1417416477281,Raw,-0.7658075,1.4567707,9.65612,1417416347
,ServiceLog,bishop,1417416478296,Raw,0.0005987549,1.495091,9.502839,1417416347
,ServiceLog,bishop,1417416479311,Raw,-0.1910028,1.495091,9.924362,1417416347
,ServiceLog,bishop,1417416480329,Raw,-0.38260436,1.4567707,9.69444,1417416347
,ServiceLog,bishop,1417416481360,Raw,-0.4975653,1.5334113,9.8094015,1417416347
,ServiceLog,bishop,1417416482417,Raw,-0.30596375,1.1885284,9.311237,1417416347
1041,Калужская 1,bishop,1417416483074,Raw,-0.8041278,1.4184504,9.65612,1417416347
,ServiceLog,bishop,1417416483675,Raw,1.1885284,-0.1910028,9.962683,1417416347
,ServiceLog,bishop,1417416484696,Raw,-1.1106904,4.828958,7.931706,1417416347
,ServiceLog,bishop,1417416485717,Raw,0.23052064,6.28513,7.433542,1417416347
,ServiceLog,bishop,1417416486732,Raw,-0.9190887,4.1391926,8.6981125,1417416347
,ServiceLog,bishop,1417416487747,Raw,-0.68916684,4.828958,8.506511,1417416347
,ServiceLog,bishop,1417416488762,Raw,-0.7658075,3.4111066,9.196277,1417416347
,ServiceLog,bishop,1417416489777,Raw,-0.34428406,3.2578254,9.119636,1417416347
,ServiceLog,bishop,1417416490794,Raw,-0.7274872,3.219505,9.272917,1417416347
,ServiceLog,bishop,1417416491826,Raw,-0.57420594,3.219505,9.234596,1417416347
,ServiceLog,bishop,1417416492852,Raw,-0.8041278,3.1045442,9.157956,1417416347
,ServiceLog,bishop,1417416493885,Raw,-0.9190887,2.9512627,9.426198,1417416347
,ServiceLog,bishop,1417416494905,Raw,-0.68916684,3.0662239,9.387877,1417416347
,ServiceLog,bishop,1417416495936,Raw,-0.53588563,2.989583,9.119636,1417416347
,ServiceLog,bishop,1417416496967,Raw,-0.4975653,3.2578254,9.004675,1417416347
,ServiceLog,bishop,1417416497993,Raw,-0.65084654,3.1811848,9.349558,1417416347
1042,Калужская 2,bishop,1417416498488,Raw,-0.7658075,4.062552,8.851394,1417416347
