,Active,CID,DateTime,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,NumRaces,NumUsers,PSC,Power,TimeStamp,User,coeffs,controls,index,laccid,maxCorrMinDelta,method,netOperators,quality,race_id,ratio,rawPower,segment,segment_end_id,segment_start_id,session_id,source_file,x,y
6805,1,22668,23.10.2015 9:39:37,,7803,250.0,2.0,ServiceLog,2G,GPRS,3,1.0,-1.0,-89.0,1.44558237708e+12,natalie,0.64116,1.0,12613.0,7803-22668,1.0,byCorr,25002.0,,1445582309,0.871794871795,-89.0,012-011,11,12,587761451.0,012-011-201510230938-natalie-move.csv,30.3499684973,59.9281044686
17599,1,22395,22.10.2015 20:12:03,,7803,250.0,2.0,ServiceLog,2G,GPRS,2,1.0,-1.0,-77.0,1.44553392372e+12,natalie,0.90644,1.0,39268.0,7803-22395,1.0,byCorr,25002.0,,1445533864,0.513513513514,-77.0,033-034,34,33,645665068.0,033-034-201510222011-natalie-move.csv,30.3174299266,59.9616023817
17877,1,22396,22.10.2015 20:26:09,,7803,250.0,2.0,ServiceLog,2G,GPRS,2,1.0,-1.0,-59.0,1.44553476933e+12,natalie,0.82643,1.0,39762.0,7803-22396,1.0,byCorr,25002.0,,1445534659,0.990990990991,-59.0,033-034,34,33,543715526.0,033-034-201510222024-natalie-move.csv,30.312449508,59.9656896173
76,,22625,,,7803,,,,2G,,2,,,-92.0,,,0.92542,1.0,,7803-22625,1.0,byCorr,,0.8,1445538001,0.502253913614,,048-047,47,48,,,,
28337,1,15416,22.10.2015 21:39:54,,7803,250.0,2.0,ServiceLog,2G,GPRS,2,1.0,-1.0,-69.0,1.44553919494e+12,natalie,0.92757,1.0,56359.0,7803-15416,1.0,byCorr,25002.0,,1445539058,0.952380952381,-69.0,048-047,47,48,543715526.0,048-047-201510222137-natalie-move.csv,30.384064343,59.9245198403
77,,15413,,,7803,,,,2G,,3,,,-84.0,,,0.9309,1.0,,7803-15413,1.0,byCorr,,0.88,1445537822,0.579820261438,,049-048,48,49,,,,
82,,15413,,,7803,,,,2G,,3,,,-86.0,,,0.93991,1.0,,7803-15413,1.0,byCorr,,0.35,1445575563,0.580707282913,,049-048,48,49,,,,
29852,1,22625,22.10.2015 21:36:52,,7803,250.0,2.0,ServiceLog,2G,GPRS,3,1.0,-1.0,-63.0,1.44553901216e+12,natalie,0.92966,1.0,58603.0,7803-22625,1.0,byCorr,25002.0,,1445538869,0.992647058824,-69.0,049-048,48,49,543715526.0,049-048-201510222134-natalie-move.csv,30.3548020219,59.9310532462
51,,22625,,,7803,,,,2G,,3,,,-67.0,,,0.90791,1.0,,7803-22625,1.0,byCorr,,0.42,1445575563,1.08746130031,,049-048,48,49,,,,
34994,1,14095,23 Окт 2015 г. 14:15:26,,7803,250.0,2.0,ServiceLog,2G,EDGE,2,1.0,-1.0,-61.0,1.44559892605e+12, julia,0.97412,1.0,70957.0,7803-14095,1.0,byCorr,25002.0,,1445598907,0.183908045977,-61.0,091-090,90,91,,091-090-201510231415- julia-move.csv,30.2918306731,59.9590844661
35108,1,17510,23 Окт 2015 г. 14:45:55,,7803,250.0,2.0,ServiceLog,2G,EDGE,2,1.0,-1.0,-85.0,1.44560075569e+12, julia,0.96432,1.0,71076.0,7803-17510,1.0,byCorr,25002.0,,1445600701,0.655172413793,-85.0,091-090,90,91,,091-090-201510231445- julia-move.csv,30.2913088247,59.954838729
35127,1,17511,23 Окт 2015 г. 14:46:14,,7803,250.0,2.0,ServiceLog,2G,EDGE,2,1.0,-1.0,-55.0,1.44560077416e+12, julia,0.99133,1.0,71095.0,7803-17511,1.0,byCorr,25002.0,,1445600701,0.908045977011,-55.0,091-090,90,91,,091-090-201510231445- julia-move.csv,30.2910326298,59.9525913988
