,index,Active,CID,DateTime,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,session_id,source_file,x,y,laccid,segment,netOperators,rawPower,NumRaces,NumUsers,coeffs,controls,method,maxCorrMinDelta
5014,9021,1,22632,23.10.2015 7:56:02,,7803,250,2,ServiceLog,2G,GPRS,-1,-65.0,1445576162539,natalie,1445576111,0.525252525253,9,10,587761451.0,010-009-201510230755-natalie-move.csv,30.3235699467,59.9182594892,7803-22632,010-009,25002,-65.0,1,3,0.91318,1.0,byCorr,1.0
4845,8623,1,22676,01.01.2013 21:27:26,,7803,250,2,ServiceLog,2G,GPRS,-1,-51.0,1357064846801,gsmart,1445576111,0.848484848485,9,10,587761451.0,010-009-201301012126-gsmart-move.csv,30.3195623598,59.9168207263,7803-22676,010-009,25002,-51.0,1,2,0.87296,1.0,byCorr,1.0
5324,9688,1,22632,23.10.2015 9:42:53,,7803,250,2,ServiceLog,2G,GPRS,-1,-65.0,1445582573587,natalie,1445582536,0.455696202532,11,10,587761451.0,010-011-201510230942-natalie-move.csv,30.3385661307,59.9236522139,7803-22632,010-011,25002,-65.0,2,2,0.98303,1.0,byCorr,1.0
5324,9688,1,22632,23.10.2015 9:42:53,,7803,250,2,ServiceLog,2G,GPRS,-1,-65.0,1445582573587,natalie,1445582536,0.46835443038,11,10,587761451.0,010-011-201510230942-natalie-move.csv,30.3385661307,59.9236522139,7803-22632,010-011,25002,-65.0,2,2,0.98303,1.0,byCorr,1.0
5350,9736,1,22667,23.10.2015 9:43:20,,7803,250,2,ServiceLog,2G,GPRS,-1,-57.0,1445582600089,natalie,1445582536,0.860759493671,11,10,587761451.0,010-011-201510230942-natalie-move.csv,30.345664323,59.9267530094,7803-22667,010-011,25002,-57.0,2,2,0.92898,1.0,byCorr,1.0
5350,9736,1,22667,23.10.2015 9:43:20,,7803,250,2,ServiceLog,2G,GPRS,-1,-57.0,1445582600089,natalie,1445582536,0.873417721519,11,10,587761451.0,010-011-201510230942-natalie-move.csv,30.345664323,59.9267530094,7803-22667,010-011,25002,-57.0,2,2,0.92898,1.0,byCorr,1.0
5418,9887,1,22667,01.01.2013 21:25:03,,7803,250,2,ServiceLog,2G,GPRS,-1,-65.0,1357064703549,gsmart,1445575995,0.609195402299,10,11,587761451.0,011-010-201301012124-gsmart-move.csv,30.3370244969,59.9231901244,7803-22667,011-010,25002,-65.0,3,2,0.86004,1.0,byCorr,1.0
5444,9933,1,22632,01.01.2013 21:25:29,,7803,250,2,ServiceLog,2G,GPRS,-1,-63.0,1357064729686,gsmart,1445575995,0.954022988506,10,11,587761451.0,011-010-201301012124-gsmart-move.csv,30.3306816272,59.9208666309,7803-22632,011-010,25002,-63.0,3,3,0.83567,1.0,byCorr,1.0
5702,10474,1,22632,23.10.2015 7:54:33,,7803,250,2,ServiceLog,2G,GPRS,-1,-53.4768350067,1445576073400,natalie,1445575995,0.977011494253,10,11,587761451.0,011-010-201510230753-natalie-move.csv,30.3303074942,59.9207294789,7803-22632,011-010,25002,-59.0,3,3,0.81567,1.0,byCorr,1.0
10671,19348,1,2757,01.01.2013 22:48:08,,7803,250,2,ServiceLog,2G,GPRS,-1,-69.0,1357069688846,gsmart,1445581009,0.0742857142857,19,20,587761451.0,020-019-201301012247-gsmart-move.csv,30.4163238337,60.0333558375,7803-2757,020-019,25002,-69.0,1,2,0.9857,1.0,byCorr,1.0
10743,19448,1,22414,01.01.2013 22:49:23,,7803,250,2,ServiceLog,2G,GPRS,-1,-109.0,1357069763391,gsmart,1445581009,0.537142857143,19,20,587761451.0,020-019-201301012247-gsmart-move.csv,30.4059996373,60.0230774058,7803-22414,020-019,25002,-109.0,1,2,0.93696,1.0,byCorr,1.0
11136,19979,1,22555,23.10.2015 9:19:42,,7803,250,2,ServiceLog,2G,GPRS,-1,-61.0,1445581182117,natalie,1445581009,0.988571428571,19,20,587761451.0,020-019-201510230916-natalie-move.csv,30.3960384764,60.0131573695,7803-22555,020-019,25002,-69.0,1,2,0.66265,1.0,byCorr,1.0
11713,20789,1,22415,01.01.2013 22:46:25,,4711,250,2,ServiceLog,2G,GPRS,-1,-103.0,1357069585258,gsmart,1445580810,0.653631284916,20,21,587761451.0,021-020-201301012244-gsmart-move.csv,30.4264510421,60.0405325537,4711-22415,021-020,25002,-103.0,1,2,0.93748,1.0,byCorr,1.0
12037,21421,1,22414,23.10.2015 9:16:20,,7803,250,2,ServiceLog,2G,GPRS,-1,-72.7913045686,1445580980358,natalie,1445580810,0.972067039106,20,21,587761451.0,021-020-201510230913-natalie-move.csv,30.4186999783,60.0355247188,7803-22414,021-020,25002,-69.010115034,1,2,0.90988,1.0,byCorr,1.0
17299,38684,1,22396,01.01.2013 9:43:46,,7803,250,2,ServiceLog,2G,GPRS,-1,-63.0,1357022626460,gsmart,1445533864,0.90990990991,34,33,645665068.0,033-034-201301010942-gsmart-move.csv,30.3132522654,59.965023666,7803-22396,033-034,25002,-63.0,2,3,0.9613,1.0,byCorr,1.0
19173,41872,1,22398,22.10.2015 20:32:02,,7803,250,2,ServiceLog,2G,GPRS,-1,-75.0,1445535122752,natalie,1445535008,0.874074074074,36,35,543715526.0,035-036-201510222030-natalie-move.csv,30.2979574548,60.0005646484,7803-22398,035-036,25002,-75.0,1,2,0.9624,1.0,byCorr,1.0
20539,44167,1,22239,22.10.2015 20:55:49,,7803,250,2,ServiceLog,2G,GPRS,-1,-105.0,1445536549178,natalie,1445536451,0.757009345794,37,38,543715526.0,038-037-201510222054-natalie-move.csv,30.321781479,60.0208808563,7803-22239,038-037,25002,-105.0,1,2,0.60197,1.0,byCorr,1.0
21135,45209,1,22237,01.01.2013 10:24:08,,7803,250,2,ServiceLog,2G,GPRS,-1,-91.0,1357025048170,gsmart,1445536321,0.627272727273,38,39,543715526.0,039-038-201301011022-gsmart-move.csv,30.3257144303,60.042281188,7803-22237,039-038,25002,-91.0,1,2,0.86836,1.0,byCorr,1.0
21404,45767,1,22239,22.10.2015 20:53:38,,7803,250,2,ServiceLog,2G,GPRS,-1,-59.0,1445536418499,natalie,1445536321,0.909090909091,38,39,543715526.0,039-038-201510222052-natalie-move.csv,30.3225621914,60.0383047823,7803-22239,039-038,25002,-59.0,1,2,0.98217,1.0,byCorr,1.0
22277,47670,1,22237,22.10.2015 20:51:40,,7803,250,2,ServiceLog,2G,GPRS,-1,-63.0,1445536300840,natalie,1445536128,0.994252873563,39,40,543715526.0,040-039-201510222048-natalie-move.csv,30.3325619946,60.0514920749,7803-22237,040-039,25002,-63.0,1,2,0.6342,1.0,byCorr,1.0
24030,50592,1,17504,22.10.2015 21:53:34,,7803,250,2,ServiceLog,2G,GPRS,-1,-103.0,1445540014850,natalie,1445539940,0.506944444444,43,44,543715526.0,044-043-201510222152-natalie-move.csv,30.4666960487,59.8564120402,7803-17504,044-043,25002,-103.0,1,2,0.57093,1.0,byCorr,1.0
23727,50059,1,17503,01.01.2013 11:25:29,,7803,250,2,ServiceLog,2G,GPRS,-1,-71.0,1357028729848,gsmart,1445539940,0.9375,43,44,543715526.0,044-043-201301011123-gsmart-move.csv,30.4579392625,59.8498102095,7803-17503,044-043,25002,-71.0,1,2,0.89132,1.0,byCorr,1.0
24925,51950,1,17518,01.01.2013 11:45:51,,7803,250,2,ServiceLog,2G,GPRS,-1,-61.0,1357029951896,gsmart,1445541177,0.662921348315,46,45,543715526.0,045-046-201301011143-gsmart-move.csv,30.4272781306,59.889717387,7803-17518,045-046,25002,-61.0,1,2,0.66469,1.0,byCorr,1.0
27251,54848,1,22625,22.10.2015 21:26:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-63.0,1445538408776,natalie,1445538289,0.875862068966,48,47,543715526.0,047-048-201510222124-natalie-move.csv,30.358918768,59.9308006287,7803-22625,047-048,25002,-63.0,2,2,0.93462,1.0,byCorr,1.0
27512,55178,1,22625,01.01.2013 10:52:27,,7803,250,2,ServiceLog,2G,GPRS,-1,-93.0,1357026747064,gsmart,1445538001,0.557823129252,47,48,543715526.0,048-047-201301011050-gsmart-move.csv,30.3721597751,59.9273580266,7803-22625,048-047,25002,-93.0,2,2,0.93743,1.0,byCorr,1.0
28024,55930,1,15416,22.10.2015 21:22:24,,7803,250,2,ServiceLog,2G,GPRS,-1,-53.0,1445538144223,natalie,1445538001,0.952380952381,47,48,543715526.0,048-047-201510222120-natalie-move.csv,30.3840805412,59.9245159783,7803-15416,048-047,25002,-53.0,2,2,0.9562,1.0,byCorr,1.0
28588,56682,1,22625,22 Окт 2015 г. 21:29:41,,7803,250,2,ServiceLog,2G,GPRS,-1,-101.0,1445538581868, julia,1445538484,0.671232876712,49,48,543715526.0,048-049-201510222128- julia-move.csv,30.3389395376,59.9332244174,7803-22625,048-049,25002,-101.0,1,3,0.97791,1.0,byCorr,1.0
28724,56939,1,22625,22.10.2015 21:29:30,,7803,250,2,ServiceLog,2G,GPRS,-1,-101.0,1445538570259,natalie,1445538484,0.58904109589,49,48,543715526.0,048-049-201510222128-natalie-move.csv,30.3408403912,59.9330005188,7803-22625,048-049,25002,-101.0,1,3,0.97097,1.0,byCorr,1.0
28769,57025,1,15413,22.10.2015 21:30:15,,7803,250,2,ServiceLog,2G,GPRS,-1,-69.0,1445538615254,natalie,1445538484,0.931506849315,49,48,543715526.0,048-049-201510222128-natalie-move.csv,30.3327427061,59.9339543221,7803-15413,048-049,25002,-69.0,1,3,0.8028,1.0,byCorr,1.0
28988,57325,1,15413,01.01.2013 10:49:19,,7803,250,2,ServiceLog,2G,GPRS,-1,-87.0,1357026559899,gsmart,1445537822,0.625,48,49,543715526.0,049-048-201301011047-gsmart-move.csv,30.3461851261,59.9321677381,7803-15413,049-048,25002,-87.0,3,2,0.95896,1.0,byCorr,1.0
30065,58849,1,15413,23.10.2015 7:47:22,,7803,250,2,ServiceLog,2G,GPRS,-1,-91.0,1445575642921,natalie,1445575563,0.595588235294,48,49,587761451.0,049-048-201510230746-natalie-move.csv,30.3454713471,59.9322600552,7803-15413,049-048,25002,-91.0,3,2,0.9695,1.0,byCorr,1.0
29555,58167,1,22625,22.10.2015 21:18:57,,7803,250,2,ServiceLog,2G,GPRS,-1,-61.0,1445537937738,natalie,1445537822,0.941176470588,48,49,543715526.0,049-048-201510222117-natalie-move.csv,30.3536294458,59.931204907,7803-22625,049-048,25002,-61.0,3,2,0.97819,1.0,byCorr,1.0
29284,57759,1,22625,01.01.2013 21:18:50,,7803,250,2,ServiceLog,2G,GPRS,-1,-69.0,1357064330207,gsmart,1445575563,0.845588235294,48,49,587761451.0,049-048-201301012117-gsmart-move.csv,30.3514729901,59.9314838209,7803-22625,049-048,25002,-69.0,3,3,0.92186,1.0,byCorr,1.0
29284,57759,1,22625,01.01.2013 21:18:50,,7803,250,2,ServiceLog,2G,GPRS,-1,-69.0,1357064330207,gsmart,1445575563,0.852941176471,48,49,587761451.0,049-048-201301012117-gsmart-move.csv,30.3514729901,59.9314838209,7803-22625,049-048,25002,-69.0,3,3,0.92186,1.0,byCorr,1.0
30099,58909,1,22625,23.10.2015 7:47:57,,7803,250,2,ServiceLog,2G,GPRS,-1,-68.5715649595,1445575677714,natalie,1445575563,0.889705882353,48,49,587761451.0,049-048-201510230746-natalie-move.csv,30.352427921,59.9313603113,7803-22625,049-048,25002,-68.5715649595,3,3,0.95352,1.0,byCorr,1.0
