,index,Active,CID,DateTime,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,session_id,source_file,x,y,laccid,segment,netOperators,rawPower,NumRaces,NumUsers,coeffs,controls,method,maxCorrMinDelta
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-80.6732339974,1357065828459,gsmart,1445577095,0.291666666667,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-80.6732339974,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-81.1223435815,1357065828459,gsmart,1445577095,0.298611111111,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-81.1223435815,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-81.5714531657,1357065828459,gsmart,1445577095,0.305555555556,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-81.5714531657,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-82.0205627498,1357065828459,gsmart,1445577095,0.3125,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-82.0205627498,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-82.469672334,1357065828459,gsmart,1445577095,0.319444444444,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-82.469672334,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-82.9187819181,1357065828459,gsmart,1445577095,0.326388888889,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-82.9187819181,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-83.3678915023,1357065828459,gsmart,1445577095,0.333333333333,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-83.3678915023,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-83.8170010864,1357065828459,gsmart,1445577095,0.340277777778,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-83.8170010864,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-84.2661106706,1357065828459,gsmart,1445577095,0.347222222222,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-84.2661106706,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-84.7152202547,1357065828459,gsmart,1445577095,0.354166666667,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-84.7152202547,1,3,0.98349,1.0,byCorr,1.0
