Active,CID,DateTime,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,session_id
250-2-7803-22542,22545,01.01.2013 3:30:28,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-87,1357000228286,gsmart,1445511516,691790069
250-2-7803-22542,14217,01.01.2013 3:30:28,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-103,1357000228286,gsmart,1445511516,691790069
1,22542,01.01.2013 3:30:29,,7803,250,2,ServiceLog,2G,GPRS,-1,-81,1357000229330,gsmart,1445511516,691790069
250-2-7803-22542,22545,01.01.2013 3:30:29,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-87,1357000229330,gsmart,1445511516,691790069
250-2-7803-22542,14217,01.01.2013 3:30:29,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-107,1357000229330,gsmart,1445511516,691790069
1,22542,01.01.2013 3:30:30,,7803,250,2,ServiceLog,2G,GPRS,-1,-81,1357000230375,gsmart,1445511516,691790069
250-2-7803-22542,22545,01.01.2013 3:30:30,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-87,1357000230375,gsmart,1445511516,691790069
250-2-7803-22542,14217,01.01.2013 3:30:30,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-107,1357000230375,gsmart,1445511516,691790069
1,22542,01.01.2013 3:30:31,,7803,250,2,ServiceLog,2G,GPRS,-1,-81,1357000231801,gsmart,1445511516,691790069
250-2-7803-22542,22545,01.01.2013 3:30:31,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-87,1357000231801,gsmart,1445511516,691790069
250-2-7803-22542,14217,01.01.2013 3:30:31,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-107,1357000231801,gsmart,1445511516,691790069
1,22542,01.01.2013 3:30:32,,7803,250,2,ServiceLog,2G,GPRS,-1,-81,1357000232831,gsmart,1445511516,691790069
250-2-7803-22542,22545,01.01.2013 3:30:32,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-83,1357000232831,gsmart,1445511516,691790069
250-2-7803-22542,14217,01.01.2013 3:30:32,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-109,1357000232831,gsmart,1445511516,691790069
1,22542,01.01.2013 3:30:33,,7803,250,2,ServiceLog,2G,GPRS,-1,-81,1357000233879,gsmart,1445511516,691790069
