ID,Name,User,TimeStamp,DateTime,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power,race_id
,ServiceLog, julia,1445602216098,23 Окт 2015 г. 15:10:16,2G,EDGE,1,250,2,7803,1443,-1,-71,1445601950
,ServiceLog, julia,1445602217168,23 Окт 2015 г. 15:10:17,2G,EDGE,1,250,2,7803,1443,-1,-73,1445601950
,ServiceLog, julia,1445602218232,23 Окт 2015 г. 15:10:18,2G,EDGE,1,250,2,7803,1443,-1,-73,1445601950
,ServiceLog, julia,1445602219277,23 Окт 2015 г. 15:10:19,2G,EDGE,1,250,2,7803,1443,-1,-75,1445601950
,ServiceLog, julia,1445602220342,23 Окт 2015 г. 15:10:20,2G,EDGE,1,250,2,7803,1443,-1,-77,1445601950
,ServiceLog, julia,1445602221408,23 Окт 2015 г. 15:10:21,2G,EDGE,1,250,2,7803,1443,-1,-79,1445601950
,ServiceLog, julia,1445602222477,23 Окт 2015 г. 15:10:22,2G,EDGE,1,250,2,7803,1443,-1,-79,1445601950
,ServiceLog, julia,1445602223541,23 Окт 2015 г. 15:10:23,2G,EDGE,1,250,2,7803,1443,-1,-83,1445601950
,ServiceLog, julia,1445602224605,23 Окт 2015 г. 15:10:24,2G,EDGE,1,250,2,7803,1443,-1,-85,1445601950
,ServiceLog, julia,1445602225669,23 Окт 2015 г. 15:10:25,2G,EDGE,1,250,2,7803,1443,-1,-87,1445601950
,ServiceLog, julia,1445602226740,23 Окт 2015 г. 15:10:26,2G,EDGE,1,250,2,7803,1443,-1,-87,1445601950
,ServiceLog, julia,1445602227813,23 Окт 2015 г. 15:10:27,2G,EDGE,1,250,2,7803,1443,-1,-89,1445601950
,ServiceLog, julia,1445602228877,23 Окт 2015 г. 15:10:28,2G,EDGE,1,250,2,7803,1443,-1,-91,1445601950
,ServiceLog, julia,1445602229942,23 Окт 2015 г. 15:10:29,2G,EDGE,1,250,2,7803,1443,-1,-93,1445601950
,ServiceLog, julia,1445602231010,23 Окт 2015 г. 15:10:31,2G,EDGE,1,250,2,7803,1443,-1,-93,1445601950
,ServiceLog, julia,1445602232080,23 Окт 2015 г. 15:10:32,2G,EDGE,1,250,2,7803,14125,-1,-95,1445601950
,ServiceLog, julia,1445602233145,23 Окт 2015 г. 15:10:33,2G,EDGE,1,250,2,7803,14125,-1,-89,1445601950
,ServiceLog, julia,1445602234207,23 Окт 2015 г. 15:10:34,2G,EDGE,1,250,2,7803,14125,-1,-85,1445601950
,ServiceLog, julia,1445602235271,23 Окт 2015 г. 15:10:35,2G,EDGE,1,250,2,7803,14125,-1,-71,1445601950
,ServiceLog, julia,1445602236338,23 Окт 2015 г. 15:10:36,2G,EDGE,1,250,2,7803,14125,-1,-71,1445601950
,ServiceLog, julia,1445602237403,23 Окт 2015 г. 15:10:37,2G,EDGE,1,250,2,7803,14125,-1,-65,1445601950
,ServiceLog, julia,1445602238467,23 Окт 2015 г. 15:10:38,2G,EDGE,1,250,2,7803,14125,-1,-65,1445601950
,ServiceLog, julia,1445602239538,23 Окт 2015 г. 15:10:39,2G,EDGE,1,250,2,7803,14125,-1,-63,1445601950
,ServiceLog, julia,1445602240602,23 Окт 2015 г. 15:10:40,2G,EDGE,1,250,2,7803,14125,-1,-63,1445601950
,ServiceLog, julia,1445602241662,23 Окт 2015 г. 15:10:41,2G,EDGE,1,250,2,7803,14125,-1,-63,1445601950
,ServiceLog, julia,1445602242728,23 Окт 2015 г. 15:10:42,2G,EDGE,1,250,2,7803,14125,-1,-61,1445601950
,ServiceLog, julia,1445602243797,23 Окт 2015 г. 15:10:43,2G,EDGE,1,250,2,7803,14125,-1,-61,1445601950
,ServiceLog, julia,1445602244863,23 Окт 2015 г. 15:10:44,2G,EDGE,1,250,2,7803,14125,-1,-61,1445601950
,ServiceLog, julia,1445602245926,23 Окт 2015 г. 15:10:45,2G,EDGE,1,250,2,7803,14125,-1,-57,1445601950
,ServiceLog, julia,1445602246987,23 Окт 2015 г. 15:10:46,2G,EDGE,1,250,2,7803,14125,-1,-53,1445601950
,ServiceLog, julia,1445602248051,23 Окт 2015 г. 15:10:48,2G,EDGE,1,250,2,7803,14125,-1,-51,1445601950
,ServiceLog, julia,1445602249114,23 Окт 2015 г. 15:10:49,2G,EDGE,1,250,2,7803,14125,-1,-51,1445601950
,ServiceLog, julia,1445602250175,23 Окт 2015 г. 15:10:50,2G,EDGE,1,250,2,7803,14125,-1,-51,1445601950
