ID,Name,User,TimeStamp,DateTime,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power,session_id,race_id
,ServiceLog,natalie,1445533439978,22.10.2015 20:03:59,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-101,369760759,1445533055
,ServiceLog,natalie,1445533441000,22.10.2015 20:04:01,2G,GPRS,1,250,2,7803,15413,-1,-75,369760759,1445533055
,ServiceLog,natalie,1445533441000,22.10.2015 20:04:01,2G,GPRS,250-2-7803-15413,-1,-1,7803,1133,-1,-69,369760759,1445533055
,ServiceLog,natalie,1445533441000,22.10.2015 20:04:01,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-93,369760759,1445533055
,ServiceLog,natalie,1445533442051,22.10.2015 20:04:02,2G,GPRS,1,250,2,7803,15413,-1,-75,369760759,1445533055
,ServiceLog,natalie,1445533442051,22.10.2015 20:04:02,2G,GPRS,250-2-7803-15413,-1,-1,7803,1133,-1,-69,369760759,1445533055
,ServiceLog,natalie,1445533442051,22.10.2015 20:04:02,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-93,369760759,1445533055
,ServiceLog,natalie,1445533443078,22.10.2015 20:04:03,2G,GPRS,1,250,2,7803,15413,-1,-75,369760759,1445533055
,ServiceLog,natalie,1445533443078,22.10.2015 20:04:03,2G,GPRS,250-2-7803-15413,-1,-1,7803,1133,-1,-69,369760759,1445533055
,ServiceLog,natalie,1445533443078,22.10.2015 20:04:03,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-93,369760759,1445533055
,ServiceLog,natalie,1445533444102,22.10.2015 20:04:04,2G,GPRS,1,250,2,7803,15413,-1,-75,369760759,1445533055
,ServiceLog,natalie,1445533444102,22.10.2015 20:04:04,2G,GPRS,250-2-7803-15413,-1,-1,7803,1133,-1,-69,369760759,1445533055
,ServiceLog,natalie,1445533444102,22.10.2015 20:04:04,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-93,369760759,1445533055
,ServiceLog,natalie,1445533445129,22.10.2015 20:04:05,2G,GPRS,1,250,2,7803,15413,-1,-75,369760759,1445533055
,ServiceLog,natalie,1445533445129,22.10.2015 20:04:05,2G,GPRS,250-2-7803-15413,-1,-1,7803,1133,-1,-69,369760759,1445533055
