ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power,session_id,race_id
,ServiceLog,Andrey,1435826890889,3G,HSDPA,1,250,2,7717,10431524,-1,-93,321756903,1435826764
,ServiceLog,Andrey,1435826891929,3G,HSDPA,1,250,2,7717,10431524,-1,-91,321756903,1435826764
,ServiceLog,Andrey,1435826892963,3G,HSDPA,1,250,2,7717,10431524,-1,-91,321756903,1435826764
,ServiceLog,Andrey,1435826894038,3G,HSDPA,1,250,2,7717,10431524,-1,-91,321756903,1435826764
,ServiceLog,Andrey,1435826895058,3G,HSDPA,1,250,2,7717,10431524,-1,-91,321756903,1435826764
,ServiceLog,Andrey,1435826896101,3G,HSDPA,1,250,2,7717,10431524,-1,-91,321756903,1435826764
,ServiceLog,Andrey,1435826897180,3G,HSDPA,1,250,2,7717,10431524,-1,-91,321756903,1435826764
,ServiceLog,Andrey,1435826898246,3G,HSDPA,1,250,2,7717,10431524,-1,-91,321756903,1435826764
,ServiceLog,Andrey,1435826899366,3G,HSDPA,1,250,2,7717,10431524,-1,-89,321756903,1435826764
,ServiceLog,Andrey,1435826900400,3G,HSDPA,1,250,2,7717,10431524,-1,-89,321756903,1435826764
,ServiceLog,Andrey,1435826901456,3G,HSDPA,1,250,2,7717,10431524,-1,-89,321756903,1435826764
,ServiceLog,Andrey,1435826902513,3G,HSDPA,1,250,2,7717,10431524,-1,-89,321756903,1435826764
,ServiceLog,Andrey,1435826903643,3G,HSDPA,1,250,2,7717,10431524,-1,-89,321756903,1435826764
,ServiceLog,Andrey,1435826904716,3G,HSDPA,1,250,2,7717,10431524,-1,-89,321756903,1435826764
,ServiceLog,Andrey,1435826905771,3G,HSDPA,1,250,2,7717,10431524,-1,-89,321756903,1435826764
,ServiceLog,Andrey,1435826906805,3G,HSDPA,1,250,2,7717,10431524,-1,-89,321756903,1435826764
,ServiceLog,Andrey,1435826907842,3G,HSDPA,1,250,2,7717,10431524,-1,-89,321756903,1435826764
,ServiceLog,Andrey,1435826908898,3G,HSDPA,1,250,2,7717,10431524,-1,-89,321756903,1435826764
,ServiceLog,Andrey,1435826909930,3G,HSDPA,1,250,2,7717,10431524,-1,-89,321756903,1435826764
,ServiceLog,Andrey,1435826910980,3G,HSDPA,1,250,2,7717,10431524,-1,-89,321756903,1435826764
,ServiceLog,Andrey,1435826912015,3G,HSDPA,1,250,2,7717,10431524,-1,-89,321756903,1435826764
,ServiceLog,Andrey,1435826913048,3G,HSDPA,1,250,2,7717,10431524,-1,-89,321756903,1435826764
,ServiceLog,Andrey,1435826914149,3G,HSDPA,1,250,2,7717,10431524,-1,-89,321756903,1435826764
,ServiceLog,Andrey,1435826915285,3G,HSDPA,1,250,2,7717,10431524,-1,-89,321756903,1435826764
,ServiceLog,Andrey,1435826916360,3G,HSDPA,1,250,2,7717,10431524,-1,-89,321756903,1435826764
,ServiceLog,Andrey,1435826917394,3G,HSDPA,1,250,2,7717,10431524,-1,-89,321756903,1435826764
,ServiceLog,Andrey,1435826918454,3G,HSDPA,1,250,2,7717,10431524,-1,-89,321756903,1435826764
,ServiceLog,Andrey,1435826919540,3G,HSDPA,1,250,2,7717,10431524,-1,-91,321756903,1435826764
,ServiceLog,Andrey,1435826920574,3G,HSDPA,1,250,2,7717,10431524,-1,-91,321756903,1435826764
,ServiceLog,Andrey,1435826921612,3G,HSDPA,1,250,2,7717,10431524,-1,-91,321756903,1435826764
,ServiceLog,Andrey,1435826922713,3G,HSDPA,1,250,2,7717,10431524,-1,-91,321756903,1435826764
,ServiceLog,Andrey,1435826923767,3G,HSDPA,1,250,2,7717,10431524,-1,-91,321756903,1435826764
,ServiceLog,Andrey,1435826924783,3G,HSDPA,1,250,2,7717,10431524,-1,-95,321756903,1435826764
,ServiceLog,Andrey,1435826925899,3G,HSDPA,1,250,2,7717,10431524,-1,-95,321756903,1435826764
