ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power,session_id,race_id
,ServiceLog,Andrey,1435908255149,2G,EDGE,1,250,2,7785,1440,-1,-103,77603657,1435908216
,ServiceLog,Andrey,1435908256196,2G,EDGE,1,250,2,7785,1440,-1,-103,77603657,1435908216
,ServiceLog,Andrey,1435908257210,2G,EDGE,1,250,2,7785,1440,-1,-103,77603657,1435908216
,ServiceLog,Andrey,1435908258230,2G,EDGE,1,250,2,7785,1440,-1,-103,77603657,1435908216
,ServiceLog,Andrey,1435908259257,2G,EDGE,1,250,2,7785,1440,-1,-103,77603657,1435908216
,ServiceLog,Andrey,1435908260270,2G,EDGE,1,250,2,7785,1440,-1,-103,77603657,1435908216
,ServiceLog,Andrey,1435908261281,2G,EDGE,1,250,2,7785,1440,-1,-103,77603657,1435908216
,ServiceLog,Andrey,1435908262291,2G,EDGE,1,250,2,7785,1440,-1,-103,77603657,1435908216
,ServiceLog,Andrey,1435908263303,2G,GPRS,1,250,99,26627,57846,-1,-97,77603657,1435908216
,ServiceLog,Andrey,1435908264312,2G,GPRS,1,250,99,26627,57846,-1,-97,77603657,1435908216
,ServiceLog,Andrey,1435908265335,2G,GPRS,1,250,99,26627,57846,-1,-97,77603657,1435908216
,ServiceLog,Andrey,1435908266351,2G,GPRS,1,250,99,26627,57846,-1,-97,77603657,1435908216
,ServiceLog,Andrey,1435908267445,2G,GPRS,1,250,99,26627,57846,-1,-97,77603657,1435908216
,ServiceLog,Andrey,1435908268482,2G,GPRS,1,250,99,26627,57846,-1,-97,77603657,1435908216
,ServiceLog,Andrey,1435908269498,2G,GPRS,1,250,99,26627,57846,-1,-97,77603657,1435908216
,ServiceLog,Andrey,1435908270512,2G,GPRS,1,250,99,26627,57846,-1,-91,77603657,1435908216
,ServiceLog,Andrey,1435908271527,2G,GPRS,1,250,99,26627,57846,-1,-91,77603657,1435908216
,ServiceLog,Andrey,1435908272537,2G,GPRS,1,250,99,26627,57846,-1,-83,77603657,1435908216
,ServiceLog,Andrey,1435908273563,2G,GPRS,1,250,99,26627,57846,-1,-75,77603657,1435908216
,ServiceLog,Andrey,1435908274584,2G,GPRS,1,250,99,26627,57846,-1,-67,77603657,1435908216
