Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,session_id
250-2-7788-830,57875,,26627,250,99,ServiceLog,2G,EDGE,-1,-73,1435849238291,Anna,1435845964,449805108
1,830,,7788,250,2,ServiceLog,2G,EDGE,-1,-93,1435849239412,Anna,1435845964,449805108
250-2-7788-830,57875,,26627,250,99,ServiceLog,2G,EDGE,-1,-73,1435849239412,Anna,1435845964,449805108
1,830,,7788,250,2,ServiceLog,2G,EDGE,-1,-99,1435849240423,Anna,1435845964,449805108
250-2-7788-830,57875,,26627,250,99,ServiceLog,2G,EDGE,-1,-73,1435849240423,Anna,1435845964,449805108
1,830,,7788,250,2,ServiceLog,2G,EDGE,-1,-99,1435849241498,Anna,1435845964,449805108
250-2-7788-830,57875,,26627,250,99,ServiceLog,2G,EDGE,-1,-73,1435849241498,Anna,1435845964,449805108
1,830,,7788,250,2,ServiceLog,2G,EDGE,-1,-107,1435849242508,Anna,1435845964,449805108
250-2-7788-830,57875,,26627,250,99,ServiceLog,2G,EDGE,-1,-73,1435849242508,Anna,1435845964,449805108
1,830,,7788,250,2,ServiceLog,2G,EDGE,-1,-107,1435849243587,Anna,1435845964,449805108
250-2-7788-830,57875,,26627,250,99,ServiceLog,2G,EDGE,-1,-73,1435849243587,Anna,1435845964,449805108
1,830,,7788,250,2,ServiceLog,2G,EDGE,-1,-107,1435849244599,Anna,1435845964,449805108
250-2-7788-830,57875,,26627,250,99,ServiceLog,2G,EDGE,-1,-73,1435849244599,Anna,1435845964,449805108
1,830,,7788,250,2,ServiceLog,2G,EDGE,-1,-107,1435849245677,Anna,1435845964,449805108
250-2-7788-830,57875,,26627,250,99,ServiceLog,2G,EDGE,-1,-73,1435849245677,Anna,1435845964,449805108
1,830,,7788,250,2,ServiceLog,2G,EDGE,-1,-111,1435849246687,Anna,1435845964,449805108
250-2-7788-830,57875,,26627,250,99,ServiceLog,2G,EDGE,-1,-73,1435849246687,Anna,1435845964,449805108
1,830,,7788,250,2,ServiceLog,2G,EDGE,-1,-111,1435849247768,Anna,1435845964,449805108
250-2-7788-830,57875,,26627,250,99,ServiceLog,2G,EDGE,-1,-73,1435849247768,Anna,1435845964,449805108
1,830,,7788,250,2,ServiceLog,2G,EDGE,-1,-111,1435849248778,Anna,1435845964,449805108
250-2-7788-830,57875,,26627,250,99,ServiceLog,2G,EDGE,-1,-73,1435849248778,Anna,1435845964,449805108
1,830,,7788,250,2,ServiceLog,2G,EDGE,-1,-111,1435849249852,Anna,1435845964,449805108
250-2-7788-830,57875,,26627,250,99,ServiceLog,2G,EDGE,-1,-73,1435849249852,Anna,1435845964,449805108
1,830,,7788,250,2,ServiceLog,2G,EDGE,-1,-111,1435849250862,Anna,1435845964,449805108
250-2-7788-830,57875,,26627,250,99,ServiceLog,2G,EDGE,-1,-73,1435849250862,Anna,1435845964,449805108
1,830,,7788,250,2,ServiceLog,2G,EDGE,-1,-111,1435849251933,Anna,1435845964,449805108
250-2-7788-830,57875,,26627,250,99,ServiceLog,2G,EDGE,-1,-73,1435849251933,Anna,1435845964,449805108
1,-1,,-1,-1,-1,ServiceLog,2G,EDGE,-1,-113,1435849252946,Anna,1435845964,449805108
1,-1,,-1,-1,-1,ServiceLog,2G,GPRS,-1,-113,1435849254003,Anna,1435845964,449805108
1,-1,,-1,-1,-1,ServiceLog,2G,GPRS,-1,-113,1435849255012,Anna,1435845964,449805108
1,-1,,-1,-1,-1,ServiceLog,2G,GPRS,-1,-113,1435849256049,Anna,1435845964,449805108
1,830,,7788,250,2,ServiceLog,2G,GPRS,-1,-79,1435849257060,Anna,1435845964,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,0,1435849258279,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-55,1435849259314,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-55,1435849260346,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-65,1435849261355,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-65,1435849262427,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-61,1435849263445,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-61,1435849264513,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-53,1435849265523,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-53,1435849266602,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-57,1435849267611,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-57,1435849268770,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-57,1435849269779,Anna,1435845964,449805108
250-99-26627-57875,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-105,1435849269779,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-57,1435849270857,Anna,1435845964,449805108
250-99-26627-57875,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-105,1435849270857,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-61,1435849271869,Anna,1435845964,449805108
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-105,1435849271869,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-61,1435849272946,Anna,1435845964,449805108
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-105,1435849272946,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-61,1435849273958,Anna,1435845964,449805108
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-105,1435849273958,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-61,1435849275033,Anna,1435845964,449805108
